oid,relname,relkind,table_len,tuple_count,tuple_len,tuple_percent,dead_tuple_count,dead_tuple_len,dead_tuple_percent,free_space,free_percent
16992,customer_i1,i,1892573184,60800508,1459212192,77.1,389963,9359112,0.49,153342992,8.1
17009,customer_i2,i,3494789120,60707440,2883953424,82.52,444484,21134408,0.6,281087792,8.04
16994,district_i1,i,1802240,20000,320000,17.76,0,0,0,1371924,76.12
16996,item_i1,i,2260992,100000,1600000,70.77,0,0,0,227092,10.04
16998,new_order_i1,i,880205824,18025759,432618216,49.15,2951829,70843896,8.05,283309740,32.19
17000,order_line_i1,i,75222941696,1902780472,46920153968,62.37,4665196,111964912,0.15,19431448592,25.83
17002,orders_i1,i,6434840576,180696840,4343056624,67.49,0,0,0,1282189196,19.93
17008,orders_i2,i,7055605760,181086404,4346173120,61.6,2,48,0,1888509436,26.77
17004,stock_i1,i,4492353536,201180827,3218893232,71.65,725657,11610512,0.26,403407812,8.98
17006,warehouse_i1,i,180224,2000,32000,17.76,0,0,0,122580,68.02
16928,customer,r,40044011520,60000000,35203792040,87.91,1158800,691848714,1.73,3477664236,8.68
16934,district,r,52813824,20000,2288959,4.33,0,0,0,48247544,91.35
16937,history,r,14215012352,180093083,12817143897,90.17,0,0,0,56617728,0.4
16940,item,r,10633216,100000,9786945,92.04,0,0,0,57844,0.54
16943,new_order,r,1015480320,17994713,611820242,60.25,2683869,91251546,8.99,90139096,8.88
16946,order_line,r,186389151744,1800998802,154095932852,82.67,75437030,6483761336,3.48,9190461140,4.93
16949,orders,r,11400404992,180098858,9329151190,81.83,737005,36850670,0.32,62449344,0.55
16952,stock,r,72279015424,200000000,66181729614,91.56,4731691,1566430148,2.17,2608261540,3.61
16955,warehouse,r,8986624,2000,217314,2.42,0,0,0,8399524,93.47
