oid,relname,relkind,size,size_pretty
16928,customer,r,40395268096,38 GB
16992,customer_i1,i,1893351424,1806 MB
17009,customer_i2,i,3494789120,3333 MB
16934,district,r,192937984,184 MB
16994,district_i1,i,2834432,2768 kB
16937,history,r,8315224064,7930 MB
16940,item,r,10665984,10 MB
16996,item_i1,i,2260992,2208 kB
16943,new_order,r,1206542336,1151 MB
16998,new_order_i1,i,1039073280,991 MB
16946,order_line,r,109763878912,102 GB
17000,order_line_i1,i,41583894528,39 GB
16949,orders,r,6675308544,6366 MB
17002,orders_i1,i,3908837376,3728 MB
17008,orders_i2,i,4043685888,3856 MB
16952,stock,r,73628712960,69 GB
17004,stock_i1,i,4492378112,4284 MB
16955,warehouse,r,18489344,18 MB
17006,warehouse_i1,i,303104,296 kB
