userid,dbid,queryid,query,plans,total_plan_time,min_plan_time,max_plan_time,mean_plan_time,stddev_plan_time,calls,total_exec_time,min_exec_time,max_exec_time,mean_exec_time,stddev_exec_time,rows,shared_blks_hit,shared_blks_read,shared_blks_dirtied,shared_blks_written,local_blks_hit,local_blks_read,local_blks_dirtied,local_blks_written,temp_blks_read,temp_blks_written,blk_read_time,blk_write_time,wal_records,wal_fpi,wal_bytes
10,16401,-5446850752671536204,SHOW log_disconnections,0,0,0,0,0,0,2,0.001498,0.000658,0.00084,0.000749,9.100000000000004e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,16402,-1712481118449147880,COPY (SELECT * FROM pg_stat_all_indexes) TO stdout WITH CSV HEADER,0,0,0,0,0,0,2,6.509425,3.068593,3.440832,3.2547125,0.1861195000000001,330,1949,9,0,0,0,0,0,0,0,0,0,0,0,0,0
10,16402,-4894820394423214813,COPY (SELECT * FROM pg_stat_database) TO stdout WITH CSV HEADER,0,0,0,0,0,0,2,21.221175000000002,10.584899,10.636276,10.610587500000001,0.02568849999999978,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,16402,-3400905425668852440,"/* contrib/pg_prewarm/pg_prewarm--1.1.sql */

-- complain if script is sourced in psql, rather than via CREATE EXTENSION


-- Register the function.
CREATE FUNCTION pg_prewarm(regclass,
						   mode text default 'buffer',
						   fork text default 'main',
						   first_block int8 default null,
						   last_block int8 default null)
RETURNS int8
AS '$libdir/pg_prewarm', 'pg_prewarm'
LANGUAGE C PARALLEL SAFE",0,0,0,0,0,0,1,2.533286,2.533286,2.533286,2.533286,0,0,88,0,0,0,0,0,0,0,0,0,0,0,9,0,1561
10,16402,-2383185587194445136,COPY (SELECT * FROM pg_stat_bgwriter) TO stdout WITH CSV HEADER,0,0,0,0,0,0,2,0.260363,0.12050200000000001,0.13986099999999999,0.1301815,0.009679499999999983,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,16402,-6809158549502233813,"COPY (SELECT c.oid, c.relname, c.relkind, st.* FROM pg_class AS c, pgstattuple(c.oid::regclass) AS st WHERE c.relnamespace = (SELECT oid FROM pg_namespace WHERE nspname = $1) AND relkind IN ($2, $3) ORDER BY relkind, relname) TO stdout WITH CSV HEADER",0,0,0,0,0,0,1,150979.080422,150979.080422,150979.080422,150979.080422,0,19,20741920,24789658,0,0,0,0,0,0,0,0,0,0,0,0,0
16384,16402,1911021614501636910,"UPDATE warehouse SET w_ytd = w_ytd + p_h_amount
WHERE w_id = p_w_id",0,0,0,0,0,0,42769884,32873214.98322033,0.012266,20813.745972,0.7686065967171107,5.392333154254973,42769884,336946731,172789,162540,144610,0,0,0,0,0,0,0,0,46000909,22810,3246951586
10,16401,-4478792916171353450,SELECT nspname FROM pg_namespace nsp JOIN pg_proc pro ON pronamespace=nsp.oid WHERE proname = $1,0,0,0,0,0,0,14,1.4937459999999998,0.047800999999999996,0.16581500000000002,0.10669614285714286,0.03290057861813624,0,70,14,0,7,0,0,0,0,0,0,0,0,0,0,0
10,16402,-1053197692998249427,REVOKE EXECUTE ON FUNCTION pgstattuple(regclass) FROM PUBLIC,0,0,0,0,0,0,1,0.019235,0.019235,0.019235,0.019235,0,0,12,0,0,0,0,0,0,0,0,0,0,0,3,0,282
16384,16402,1549575090342361865,SELECT no_o_id                FROM new_order WHERE no_w_id = d_w_id AND no_d_id = d_d_id ORDER BY no_o_id ASC LIMIT $5,0,0,0,0,0,0,42777760,13688357.67821302,0.003943,22699.661477999998,0.3199877150699723,5.930653942409485,42777760,555456041,1189883,74137,832092,0,0,0,0,0,0,0,0,2905500,4909,213253735
