oid,relname,version,tree_level,index_size,root_block_no,internal_pages,leaf_pages,empty_pages,deleted_pages,avg_leaf_density,leaf_fragmentation
16992,customer_i1,4,3,1893310464,41827,1140,229976,0,0,95.23,0.04
17009,customer_i2,4,3,3494797312,17574,3278,423332,0,0,95.43,0
16994,district_i1,4,1,3080192,3,1,374,0,0,13.41,50
16996,item_i1,4,1,2260992,3,1,274,0,0,89.83,0
16998,new_order_i1,4,3,1042571264,42442,551,83850,0,42865,84.97,5.83
17000,order_line_i1,4,3,40988975104,41827,28458,4975078,0,0,75.4,20.8
17002,orders_i1,4,3,3871367168,41827,2408,470170,0,0,78.22,16.52
17008,orders_i2,4,3,3956039680,41827,2440,480474,0,0,77.21,31.46
17004,stock_i1,4,3,4496392192,81517,1933,546942,0,0,92.85,0.09
17006,warehouse_i1,4,1,385024,3,1,45,0,0,11.19,48.89
