oid,relname,relkind,table_len,tuple_count,tuple_len,tuple_percent,dead_tuple_count,dead_tuple_len,dead_tuple_percent,free_space,free_percent
16992,customer_i1,i,1893163008,62213216,1493384584,78.88,1295591,31106936,1.64,88734212,4.69
17009,customer_i2,i,3494789120,62202850,2955382944,84.57,1393400,66329456,1.9,154688056,4.43
16994,district_i1,i,4366336,20000,320000,7.33,0,0,0,3899732,89.31
16996,item_i1,i,2260992,100000,1600000,70.77,0,0,0,227092,10.04
16998,new_order_i1,i,1045864448,18183926,436414224,41.73,2653030,63672720,6.09,451984620,43.22
17000,order_line_i1,i,42940817408,1118785848,27403356264,63.82,1307829,31393320,0.07,10402977384,24.23
17002,orders_i1,i,3912835072,109517374,2661128960,68.01,0,0,0,759671620,19.41
17008,orders_i2,i,4138901504,111353394,2675800648,64.65,755,18120,0,960870716,23.22
17004,stock_i1,i,4492386304,203662013,3258595704,72.54,1922899,30766720,0.68,329867932,7.34
17006,warehouse_i1,i,245760,2000,32000,13.02,0,0,0,187604,76.34
16928,customer,r,40248279040,60000000,35159189218,87.36,1437276,849958195,2.11,3553192356,8.83
16934,district,r,137510912,20000,2287959,1.66,0,0,0,129622824,94.26
16937,history,r,8573468672,108051644,7714171014,89.98,0,0,0,35014024,0.41
16940,item,r,10633216,100000,9786945,92.04,0,0,0,57844,0.54
16943,new_order,r,1201635328,18178316,618062744,51.44,2405496,81786864,6.81,259569840,21.6
16946,order_line,r,113153179648,1080477686,92163213412,81.45,36753360,3158872094,2.79,8223183632,7.27
16949,orders,r,6836027392,108046205,5582046028,81.66,415129,20781030,0.3,127667112,1.87
16952,stock,r,73142026240,200000000,66181729614,90.48,6655893,2203095998,3.01,2737690820,3.74
16955,warehouse,r,68485120,2000,218094,0.32,0,0,0,65554356,95.72
