relid,schemaname,relname,seq_scan,seq_tup_read,idx_scan,idx_tup_fetch,n_tup_ins,n_tup_upd,n_tup_del,n_tup_hot_upd,n_live_tup,n_dead_tup,n_mod_since_analyze,n_ins_since_vacuum,last_vacuum,last_autovacuum,last_analyze,last_autoanalyze,vacuum_count,autovacuum_count,analyze_count,autoanalyze_count
3592,pg_catalog,pg_shseclabel,0,0,2,0,0,0,0,0,0,0,0,0,2020-11-02 08:35:26.856885+00,,2020-11-02 08:35:26.857085+00,,7,0,5,0
3603,pg_catalog,pg_ts_config_map,0,0,0,0,0,0,0,0,494,0,0,0,2020-11-02 08:35:26.847604+00,,2020-11-02 08:35:26.848281+00,,1,0,1,0
3079,pg_catalog,pg_extension,0,0,12,6,3,2,0,2,4,2,4,2,2020-11-02 08:35:26.854079+00,,2020-11-02 08:35:26.85499+00,,1,0,1,0
2830,pg_toast,pg_toast_2604,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-02 08:35:26.859228+00,,,,1,0,0,0
826,pg_catalog,pg_default_acl,0,0,8,0,0,0,0,0,0,0,0,0,2020-11-02 08:35:26.857324+00,,2020-11-02 08:35:26.858058+00,,1,0,1,0
3501,pg_catalog,pg_enum,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-02 08:35:26.8565+00,,2020-11-02 08:35:26.85668+00,,1,0,1,0
2224,pg_catalog,pg_sequence,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-02 08:35:26.857822+00,,2020-11-02 08:35:26.857934+00,,1,0,1,0
4157,pg_toast,pg_toast_2612,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-02 08:35:26.855908+00,,,,1,0,0,0
4155,pg_toast,pg_toast_3394,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-02 08:35:26.847915+00,,,,1,0,0,0
13433,information_schema,sql_parts,0,0,,,0,0,0,0,10,0,0,0,2020-11-02 08:35:26.8516+00,,2020-11-02 08:35:26.852419+00,,1,0,1,0
