userid,dbid,queryid,query,plans,total_plan_time,min_plan_time,max_plan_time,mean_plan_time,stddev_plan_time,calls,total_exec_time,min_exec_time,max_exec_time,mean_exec_time,stddev_exec_time,rows,shared_blks_hit,shared_blks_read,shared_blks_dirtied,shared_blks_written,local_blks_hit,local_blks_read,local_blks_dirtied,local_blks_written,temp_blks_read,temp_blks_written,blk_read_time,blk_write_time,wal_records,wal_fpi,wal_bytes
10,16402,-1712481118449147880,COPY (SELECT * FROM pg_stat_all_indexes) TO stdout WITH CSV HEADER,0,0,0,0,0,0,1,8.030189,8.030189,8.030189,8.030189,0,165,974,5,0,0,0,0,0,0,0,0,0,0,0,0,0
10,16402,-4894820394423214813,COPY (SELECT * FROM pg_stat_database) TO stdout WITH CSV HEADER,0,0,0,0,0,0,1,10.578408,10.578408,10.578408,10.578408,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,16402,-2383185587194445136,COPY (SELECT * FROM pg_stat_bgwriter) TO stdout WITH CSV HEADER,0,0,0,0,0,0,1,0.113014,0.113014,0.113014,0.113014,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,16402,435174621275570554,COPY (SELECT * FROM pg_stat_database) TO stdout WITH CSV HEADER,0,0,0,0,0,0,1,44.097966,44.097966,44.097966,44.097966,0,5,128,47,3,0,0,0,0,0,0,0,0,0,1,1,183
10,16401,-6887975327946995770,SET client_encoding TO 'utf8',0,0,0,0,0,0,1,0.008883,0.008883,0.008883,0.008883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,16402,-3832115078929431881,COPY (SELECT * FROM pg_stat_all_tables) TO stdout WITH CSV HEADER,0,0,0,0,0,0,1,106.928512,106.928512,106.928512,106.928512,0,114,533,48,9,0,0,0,0,0,0,0,0,0,5,5,9087
10,16402,-864638620389945725,COPY (SELECT * FROM pg_stat_all_indexes) TO stdout WITH CSV HEADER,0,0,0,0,0,0,1,0.707159,0.707159,0.707159,0.707159,0,165,518,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,16402,-8192141596051648002,COPY (SELECT * FROM pg_stat_all_tables) TO stdout WITH CSV HEADER,0,0,0,0,0,0,1,0.7686919999999999,0.7686919999999999,0.7686919999999999,0.7686919999999999,0,114,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,16402,-5109480985238204195,COPY (SELECT * FROM pg_stat_bgwriter) TO stdout WITH CSV HEADER,0,0,0,0,0,0,1,3.963891,3.963891,3.963891,3.963891,0,1,63,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,16401,7462969496598148859,SELECT version(),0,0,0,0,0,0,1,0.015803,0.015803,0.015803,0.015803,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,16401,-2184263057854310049,SELECT $1,0,0,0,0,0,0,1,0.0019479999999999999,0.0019479999999999999,0.0019479999999999999,0.0019479999999999999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
