relid,schemaname,relname,seq_scan,seq_tup_read,idx_scan,idx_tup_fetch,n_tup_ins,n_tup_upd,n_tup_del,n_tup_hot_upd,n_live_tup,n_dead_tup,n_mod_since_analyze,n_ins_since_vacuum,last_vacuum,last_autovacuum,last_analyze,last_autoanalyze,vacuum_count,autovacuum_count,analyze_count,autoanalyze_count
1261,pg_catalog,pg_auth_members,0,0,0,0,0,0,0,0,3,0,0,0,2020-11-05 10:26:35.338008+00,,2020-11-05 10:26:23.03876+00,,3,0,3,0
4159,pg_toast,pg_toast_2600,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-05 10:26:35.333377+00,,,,1,0,0,0
4171,pg_toast,pg_toast_1247,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-05 10:26:35.326045+00,,,,1,0,0,0
4151,pg_toast,pg_toast_1417,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-05 10:26:35.354758+00,,,,1,0,0,0
13301,pg_toast,pg_toast_13299,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-05 10:26:35.346475+00,,,,1,0,0,0
3592,pg_catalog,pg_shseclabel,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-05 10:26:35.359525+00,,2020-11-05 10:26:23.042237+00,,3,0,3,0
3603,pg_catalog,pg_ts_config_map,0,0,0,0,0,0,0,0,437,0,0,0,2020-11-05 10:26:35.329438+00,,2020-11-05 10:26:23.035521+00,,1,0,1,0
3079,pg_catalog,pg_extension,821,1977,113,85,3,6,0,6,4,1,2,1,2020-11-05 10:26:35.342868+00,,2020-11-05 10:26:23.039681+00,,1,0,1,0
16428,public,order_line,4,1200020644,73911571,1370605294,936182492,335977649,0,222503923,942507398,160977727,417740218,336172170,2020-11-05 10:42:47.218838+00,,2020-11-05 10:26:29.277497+00,2020-11-05 13:36:07.976031+00,1,0,1,3
2830,pg_toast,pg_toast_2604,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-05 10:26:35.347916+00,,,,1,0,0,0
13289,information_schema,sql_implementation_info,0,0,,,0,0,0,0,12,0,0,0,2020-11-05 10:26:35.344322+00,,2020-11-05 10:26:23.041098+00,,1,0,1,0
16419,public,history,1,60000000,,,93615383,0,0,0,96071281,0,9695895,19265985,2020-11-05 10:28:20.921428+00,2020-11-05 13:38:18.122337+00,2020-11-05 10:26:35.179847+00,2020-11-05 13:55:28.62387+00,1,1,1,3
16413,pg_toast,pg_toast_16410,1,0,0,0,0,0,0,0,0,0,0,0,2020-11-05 10:36:42.369584+00,,,,1,0,0,0
826,pg_catalog,pg_default_acl,0,0,6,0,0,0,0,0,0,0,0,0,2020-11-05 10:26:35.358615+00,,2020-11-05 10:26:23.041626+00,,1,0,1,0
3501,pg_catalog,pg_enum,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-05 10:26:35.35862+00,,2020-11-05 10:26:23.042135+00,,1,0,1,0
2224,pg_catalog,pg_sequence,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-05 10:26:35.348034+00,,2020-11-05 10:26:23.04126+00,,1,0,1,0
4157,pg_toast,pg_toast_2612,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-05 10:26:35.337126+00,,,,1,0,0,0
4155,pg_toast,pg_toast_3394,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-05 10:26:35.332352+00,,,,1,0,0,0
3118,pg_catalog,pg_foreign_table,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-05 10:26:35.346982+00,,2020-11-05 10:26:23.042306+00,,1,0,1,0
1417,pg_catalog,pg_foreign_server,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-05 10:26:35.35345+00,,2020-11-05 10:26:23.041527+00,,1,0,1,0
2616,pg_catalog,pg_opclass,10,10,9640,122396,0,0,0,0,130,0,0,0,2020-11-05 10:26:35.334301+00,,2020-11-05 10:26:23.036547+00,,1,0,1,0
2600,pg_catalog,pg_aggregate,0,0,4961,4961,0,0,0,0,138,0,0,0,2020-11-05 10:26:35.332363+00,,2020-11-05 10:26:23.035715+00,,1,0,1,0
1247,pg_catalog,pg_type,0,0,46662,42964,23,19,2,19,432,0,0,0,2020-11-05 10:26:35.325602+00,,2020-11-05 10:26:23.034319+00,,1,0,1,0
4181,pg_toast,pg_toast_6000,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-05 10:26:35.355091+00,,,,3,0,0,0
16437,public,warehouse,2,4000,100864645,100864705,2000,33619844,0,33320480,1997,81426,397255,0,2020-11-05 10:26:35.322257+00,2020-11-05 14:21:50.328841+00,2020-11-05 10:26:23.03014+00,2020-11-05 14:21:50.681562+00,1,56,1,56
3256,pg_catalog,pg_policy,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-05 10:26:35.355099+00,,2020-11-05 10:26:23.041714+00,,1,0,1,0
4147,pg_toast,pg_toast_3079,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-05 10:26:35.343304+00,,,,1,0,0,0
6104,pg_catalog,pg_publication,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-05 10:26:35.348228+00,,2020-11-05 10:26:23.041281+00,,1,0,1,0
3601,pg_catalog,pg_ts_parser,0,0,0,0,0,0,0,0,1,0,0,0,2020-11-05 10:26:35.342903+00,,2020-11-05 10:26:23.040011+00,,1,0,1,0
13284,information_schema,sql_features,0,0,,,0,0,0,0,712,0,0,0,2020-11-05 10:26:35.32645+00,,2020-11-05 10:26:23.03417+00,,1,0,1,0
2964,pg_catalog,pg_db_role_setting,0,0,12175,0,0,0,0,0,0,0,0,0,2020-11-05 10:26:35.359237+00,,2020-11-05 10:26:23.042275+00,,3,0,3,0
2328,pg_catalog,pg_foreign_data_wrapper,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-05 10:26:35.353447+00,,2020-11-05 10:26:23.041478+00,,1,0,1,0
2613,pg_catalog,pg_largeobject,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-05 10:26:35.35826+00,,2020-11-05 10:26:23.041775+00,,1,0,1,0
13294,information_schema,sql_parts,0,0,,,0,0,0,0,10,0,0,0,2020-11-05 10:26:35.345938+00,,2020-11-05 10:26:23.041011+00,,1,0,1,0
