userid,dbid,queryid,query,plans,total_plan_time,min_plan_time,max_plan_time,mean_plan_time,stddev_plan_time,calls,total_exec_time,min_exec_time,max_exec_time,mean_exec_time,stddev_exec_time,rows,shared_blks_hit,shared_blks_read,shared_blks_dirtied,shared_blks_written,local_blks_hit,local_blks_read,local_blks_dirtied,local_blks_written,temp_blks_read,temp_blks_written,blk_read_time,blk_write_time,wal_records,wal_fpi,wal_bytes
16384,16385,-8177193649675968187,"select delivery($1,$2)",0,0,0,0,0,0,3800268,207670922.25217777,1.2828060000000001,62926.920514000005,54.646388689478144,327.1479072677848,3800268,3363241784,77138706,80313021,56698801,0,0,0,0,0,0,0,0,861425169,7682003,132180881162
10,16385,4781283453004295250,GRANT EXECUTE ON FUNCTION pgstathashindex(regclass) TO pg_stat_scan_tables,0,0,0,0,0,0,1,0.016622,0.016622,0.016622,0.016622,0,0,12,0,0,0,0,0,0,0,0,0,0,0,2,0,218
10,16385,-6766677562622511123,COPY (SELECT * FROM pg_stat_statements) TO stdout WITH CSV HEADER,0,0,0,0,0,0,1,0.75879,0.75879,0.75879,0.75879,0,15,78,7,0,0,0,0,0,0,0,0,0,0,0,0,0
10,16385,-2940745828441066592,"WITH
settings (block_size, shared_buffers, effective_cache_size) AS (
    VALUES (pg_size_bytes(current_setting($1)),
            pg_size_bytes(current_setting($2)),
            pg_size_bytes(current_setting($3)))
),
rels (oid, size) AS (
    SELECT oid, sum(relpages) OVER (ORDER BY relpages)
    FROM pg_class
    WHERE relnamespace = (SELECT oid FROM pg_namespace WHERE nspname = $4)
      AND relkind IN ($5, $6)
)
SELECT pg_prewarm(r.oid, CASE WHEN r.size * s.block_size <= s.shared_buffers THEN $7 ELSE $8 END)
FROM rels AS r,
     settings AS s
WHERE r.size * s.block_size <= GREATEST(s.shared_buffers, s.effective_cache_size)",0,0,0,0,0,0,1,47882.717976,47882.717976,47882.717976,47882.717976,0,19,99677,1188892,0,0,0,0,0,0,0,0,0,0,0,0,0
10,13434,-1257072994443807572,"SELECT ct.conname, ct.conkey, ct.confkey, nl.nspname AS fknsp, cl.relname AS fktab, nr.nspname AS refnsp, cr.relname AS reftab FROM pg_constraint ct JOIN pg_class cl ON cl.oid = ct.conrelid JOIN pg_namespace nl ON nl.oid = cl.relnamespace JOIN pg_class cr ON cr.oid = ct.confrelid JOIN pg_namespace nr ON nr.oid = cr.relnamespace JOIN pg_catalog.pg_namespace nc ON nc.oid = ct.connamespace WHERE contype=$2 AND nc.nspname = $1",0,0,0,0,0,0,41,2.3803790000000005,0.016671000000000002,0.213065,0.05805802439024389,0.04054074815660123,0,5,36,0,25,0,0,0,0,0,0,0,0,0,0,0
10,16385,216036630461505403,COPY (SELECT * FROM pg_settings) TO stdout WITH CSV HEADER,0,0,0,0,0,0,1,1.1032920000000002,1.1032920000000002,1.1032920000000002,1.1032920000000002,0,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,16385,-1223765790011969516,"COPY (SELECT c.oid, c.relname, c.relkind, st.* FROM pg_class AS c, pgstattuple(c.oid::regclass) AS st WHERE c.relnamespace = (SELECT oid FROM pg_namespace WHERE nspname = 'public') AND relkind IN ('r', 'i') ORDER BY relkind, relname) TO stdout WITH CSV HEADER",0,0,0,0,0,0,1,139478.471561,139478.471561,139478.471561,139478.471561,0,19,20741346,24788739,0,0,0,0,0,0,0,0,0,0,5,0,306
16384,16385,8457438855670799992,"INSERT INTO ORDERS (o_id, o_d_id, o_w_id, o_c_id, o_entry_d, o_ol_cnt, o_all_local) VALUES (o_id, no_d_id, no_w_id, no_c_id, current_timestamp, no_o_ol_cnt, no_o_all_local)",0,0,0,0,0,0,38025228,4621136.867859305,0.011284,9286.691658,0.1215281830225722,6.1975510538037595,38025228,324150425,27327008,28427089,19960126,0,0,0,0,0,0,0,0,114458629,809656,14114549976
16384,16385,90500893403881250,"UPDATE order_line SET ol_delivery_d = current_timestamp
WHERE ol_o_id = d_no_o_id AND ol_d_id = d_d_id AND
ol_w_id = d_w_id",0,0,0,0,0,0,38002680,108318664.12524454,0.011769,62908.771882,2.8502901407278562,71.92500507683509,380032036,1369681124,31798807,33622176,25166864,0,0,0,0,0,0,0,0,680155712,3964908,90508946019
10,16385,2483231754448897328,COPY (SELECT * FROM pg_stat_statements) TO stdout WITH CSV HEADER,0,0,0,0,0,0,1,0.106,0.106,0.106,0.106,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16384,16385,1774179541875190233,"SELECT c_first, c_middle, c_id,
c_street_1, c_street_2, c_city, c_state, c_zip,
c_phone, c_credit, c_credit_lim,
c_discount, c_balance, c_since
FROM customer
WHERE c_w_id = p_c_w_id AND c_d_id = p_c_d_id AND c_last = p_c_last
ORDER BY c_first",0,0,0,0,0,0,22807864,1789993.8666895963,0.005411,9139.929727,0.07848143371470476,2.689376598577436,20479887,246371691,13134283,435,8961727,0,0,0,0,0,0,0,0,3043,3,204365
16384,16385,-3592928687585607568,"select payment($1,$2,$3,$4,$5,$6,$7,$8,$9,$10)",0,0,0,0,0,0,38014480,162398116.50409043,0.121796,60041.596371,4.272006785414585,53.29935849985533,38014480,2581362986,214410028,64242098,148910083,0,0,0,0,0,0,0,0,210093079,8933808,92147811332
10,16385,-8610820246424350903,CREATE EXTENSION IF NOT EXISTS pgstattuple,0,0,0,0,0,0,1,9.460042,9.460042,9.460042,9.460042,0,0,1492,69,42,2,0,0,0,0,0,0,0,0,210,30,190616
