oid,relname,version,tree_level,index_size,root_block_no,internal_pages,leaf_pages,empty_pages,deleted_pages,avg_leaf_density,leaf_fragmentation
16440,customer_i1,4,3,1912463360,41827,1140,232314,0,0,94.24,1.05
16456,customer_i2,4,3,3494912000,17574,3278,423346,0,0,95.22,0
16442,district_i1,4,2,3678208,412,3,445,0,0,11.32,50.34
16444,item_i1,4,1,2260992,3,1,274,0,0,89.83,0
16446,new_order_i1,4,3,925188096,42442,515,75468,0,36954,84.67,11.79
16448,order_line_i1,4,3,39037362176,41827,26893,4738409,0,0,75.66,20.71
16450,orders_i1,4,3,3796992000,41827,2350,461149,0,0,76.77,18.87
16457,orders_i2,4,3,3771564032,41827,2347,458048,0,0,77.9,30.49
16452,stock_i1,4,3,4749934592,81517,1989,577836,0,0,88.64,5.43
16454,warehouse_i1,4,1,385024,3,1,45,0,0,11.19,48.89
