oid,relname,relkind,table_len,tuple_count,tuple_len,tuple_percent,dead_tuple_count,dead_tuple_len,dead_tuple_percent,free_space,free_percent
16434,customer_i1,i,1939406848,62426369,1498232856,77.25,1506102,36146448,1.86,122989520,6.34
16450,customer_i2,i,3678732288,62491712,2968667856,80.7,1620511,77120720,2.1,310455480,8.44
16436,district_i1,i,12443648,20000,320000,2.57,0,0,0,11881420,95.48
16438,item_i1,i,2260992,100000,1600000,70.77,0,0,0,227092,10.04
16440,new_order_i1,i,938909696,18188625,436527000,46.49,304795,7315080,0.78,411544548,43.83
16442,order_line_i1,i,41783492608,1126582185,27037972440,64.71,4817389,115617336,0.28,9500157692,22.74
16444,orders_i1,i,4088324096,109053719,2617289256,64.02,0,0,0,978928728,23.94
16451,orders_i2,i,4046520320,109053708,2617288992,64.68,5,120,0,937440504,23.17
16446,stock_i1,i,4918288384,204603183,3273650928,66.56,6829080,109265280,2.22,634353416,12.9
16448,warehouse_i1,i,1540096,2000,32000,2.08,0,0,0,1471828,95.57
16404,customer,r,40898412544,60000000,35126745784,85.89,2100779,1244901752,3.04,3831650296,9.37
16410,district,r,271400960,20000,2288017,0.84,0,0,0,258582576,95.28
16413,history,r,7886061568,99163797,7091959163,89.93,0,0,0,32573856,0.41
16416,item,r,10633216,100000,9786945,92.04,0,0,0,57844,0.54
16419,new_order,r,1055768576,18096472,615280048,58.28,393036,13363224,1.27,211662008,20.05
16422,order_line,r,105275588608,991695306,84531882928,80.3,65047023,5564859236,5.29,6402064576,6.08
16425,orders,r,6570303488,99163515,5120309836,77.93,1765518,88307706,1.34,342782456,5.22
16428,stock,r,74996424704,200000000,66181729614,88.25,9191979,3042205247,4.06,3699644364,4.93
16431,warehouse,r,151298048,2000,218106,0.14,0,0,0,145227956,95.99
