oid,relname,relkind,size,size_pretty
16404,customer,r,40909611008,38 GB
16434,customer_i1,i,1939406848,1850 MB
16450,customer_i2,i,3678732288,3508 MB
16410,district,r,279265280,266 MB
16436,district_i1,i,12443648,12 MB
16413,history,r,7888175104,7523 MB
16416,item,r,10665984,10 MB
16438,item_i1,i,2260992,2208 kB
16419,new_order,r,1056079872,1007 MB
16440,new_order_i1,i,939147264,896 MB
16422,order_line,r,105303195648,98 GB
16442,order_line_i1,i,41783492608,39 GB
16425,orders,r,6572056576,6268 MB
16444,orders_i1,i,4088324096,3899 MB
16451,orders_i2,i,4046520320,3859 MB
16428,stock,r,75016970240,70 GB
16446,stock_i1,i,4918288384,4690 MB
16431,warehouse,r,151363584,144 MB
16448,warehouse_i1,i,1540096,1504 kB
