relid,schemaname,relname,seq_scan,seq_tup_read,idx_scan,idx_tup_fetch,n_tup_ins,n_tup_upd,n_tup_del,n_tup_hot_upd,n_live_tup,n_dead_tup,n_mod_since_analyze,last_vacuum,last_autovacuum,last_analyze,last_autoanalyze,vacuum_count,autovacuum_count,analyze_count,autoanalyze_count
4171,pg_toast,pg_toast_1247,0,0,0,0,0,0,0,0,0,0,0,2020-11-05 16:28:07.507312+00,,,,1,0,0,0
4151,pg_toast,pg_toast_1417,0,0,0,0,0,0,0,0,0,0,0,2020-11-05 16:28:07.529357+00,,,,1,0,0,0
16404,public,customer,7,180000000,196443963,604564318,60000000,72819930,0,66822087,59980314,8193819,5658900,2020-11-05 16:38:09.983671+00,,2020-11-05 16:27:55.149967+00,2020-11-05 20:39:34.213812+00,1,0,1,10
3592,pg_catalog,pg_shseclabel,0,0,0,0,0,0,0,0,0,0,0,2020-11-05 16:28:07.543487+00,,2020-11-05 16:27:54.793939+00,,3,0,3,0
3603,pg_catalog,pg_ts_config_map,0,0,0,0,0,0,0,0,437,0,0,2020-11-05 16:28:07.510103+00,,2020-11-05 16:27:54.787343+00,,1,0,1,0
3079,pg_catalog,pg_extension,930,2253,121,93,3,5,0,5,4,1,2,2020-11-05 16:28:07.522584+00,,2020-11-05 16:27:54.791608+00,,1,0,1,0
2830,pg_toast,pg_toast_2604,0,0,0,0,0,0,0,0,0,0,0,2020-11-05 16:28:07.528481+00,,,,1,0,0,0
826,pg_catalog,pg_default_acl,0,0,6,0,0,0,0,0,0,0,0,2020-11-05 16:28:07.531462+00,,2020-11-05 16:27:54.793404+00,,1,0,1,0
3501,pg_catalog,pg_enum,0,0,0,0,0,0,0,0,0,0,0,2020-11-05 16:28:07.543007+00,,2020-11-05 16:27:54.793781+00,,1,0,1,0
2224,pg_catalog,pg_sequence,0,0,0,0,0,0,0,0,0,0,0,2020-11-05 16:28:07.527143+00,,2020-11-05 16:27:54.792872+00,,1,0,1,0
4157,pg_toast,pg_toast_2612,0,0,0,0,0,0,0,0,0,0,0,2020-11-05 16:28:07.518702+00,,,,1,0,0,0
4155,pg_toast,pg_toast_3394,0,0,0,0,0,0,0,0,0,0,0,2020-11-05 16:28:07.514442+00,,,,1,0,0,0
3118,pg_catalog,pg_foreign_table,0,0,0,0,0,0,0,0,0,0,0,2020-11-05 16:28:07.526211+00,,2020-11-05 16:27:54.793957+00,,1,0,1,0
1417,pg_catalog,pg_foreign_server,0,0,0,0,0,0,0,0,0,0,0,2020-11-05 16:28:07.528875+00,,2020-11-05 16:27:54.793251+00,,1,0,1,0
2616,pg_catalog,pg_opclass,16,16,9890,122832,0,0,0,0,128,0,0,2020-11-05 16:28:07.51444+00,,2020-11-05 16:27:54.788286+00,,1,0,1,0
16431,public,warehouse,2,4000,112707736,112708039,2000,37568179,0,37211426,2000,135733,169292,2020-11-05 16:28:07.503602+00,2020-11-05 20:47:09.698702+00,2020-11-05 16:27:54.781018+00,2020-11-05 20:47:09.930158+00,1,60,1,60
16410,public,district,244,4880000,116464812,118855524,20000,75139114,0,70840078,20183,477233,441479,2020-11-05 16:28:07.504618+00,2020-11-05 20:47:03.803519+00,2020-11-05 16:27:54.845623+00,2020-11-05 20:47:04.440978+00,1,61,1,63
2600,pg_catalog,pg_aggregate,0,0,5401,5401,0,0,0,0,138,0,0,2020-11-05 16:28:07.515943+00,,2020-11-05 16:27:54.787309+00,,1,0,1,0
1247,pg_catalog,pg_type,0,0,47273,43540,21,19,0,17,421,0,0,2020-11-05 16:28:07.506675+00,,2020-11-05 16:27:54.784946+00,,1,0,1,0
13289,pg_toast,pg_toast_13287,0,0,0,0,0,0,0,0,0,0,0,2020-11-05 16:28:07.526871+00,,,,1,0,0,0
4181,pg_toast,pg_toast_6000,0,0,0,0,0,0,0,0,0,0,0,2020-11-05 16:28:07.528788+00,,,,3,0,0,0
3256,pg_catalog,pg_policy,0,0,0,0,0,0,0,0,0,0,0,2020-11-05 16:28:07.529273+00,,2020-11-05 16:27:54.79332+00,,1,0,1,0
4147,pg_toast,pg_toast_3079,0,0,0,0,0,0,0,0,0,0,0,2020-11-05 16:28:07.523155+00,,,,1,0,0,0
6104,pg_catalog,pg_publication,0,0,0,0,0,0,0,0,0,0,0,2020-11-05 16:28:07.527918+00,,2020-11-05 16:27:54.792976+00,,1,0,1,0
3601,pg_catalog,pg_ts_parser,0,0,0,0,0,0,0,0,1,0,0,2020-11-05 16:28:07.523287+00,,2020-11-05 16:27:54.791902+00,,1,0,1,0
2964,pg_catalog,pg_db_role_setting,0,0,12731,0,0,0,0,0,0,0,0,2020-11-05 16:28:07.543211+00,,2020-11-05 16:27:54.793947+00,,3,0,3,0
2328,pg_catalog,pg_foreign_data_wrapper,0,0,0,0,0,0,0,0,0,0,0,2020-11-05 16:28:07.528208+00,,2020-11-05 16:27:54.793174+00,,1,0,1,0
2613,pg_catalog,pg_largeobject,0,0,0,0,0,0,0,0,0,0,0,2020-11-05 16:28:07.530762+00,,2020-11-05 16:27:54.793528+00,,1,0,1,0
2753,pg_catalog,pg_opfamily,0,0,0,0,0,0,0,0,107,0,0,2020-11-05 16:28:07.514924+00,,2020-11-05 16:27:54.788323+00,,1,0,1,0
2396,pg_catalog,pg_shdescription,0,0,0,0,0,0,0,0,3,0,0,2020-11-05 16:28:07.518977+00,,2020-11-05 16:27:54.790713+00,,3,0,3,0
13277,information_schema,sql_features,0,0,,,0,0,0,0,712,0,0,2020-11-05 16:28:07.5078+00,,2020-11-05 16:27:54.784554+00,,1,0,1,0
2606,pg_catalog,pg_constraint,67,564,227,0,8,0,0,0,10,0,0,2020-11-05 16:28:07.515344+00,,2020-11-05 16:27:54.789889+00,,1,0,1,0
4173,pg_toast,pg_toast_1418,0,0,0,0,0,0,0,0,0,0,0,2020-11-05 16:28:07.530245+00,,,,1,0,0,0
16425,public,orders,7,180000000,78856744,78119581,97569220,37550220,0,28976323,100105859,11599181,3188589,2020-11-05 16:28:17.781912+00,,2020-11-05 16:27:55.094431+00,2020-11-05 20:43:44.807065+00,1,0,1,8
3602,pg_catalog,pg_ts_config,0,0,68,68,0,0,0,0,23,0,0,2020-11-05 16:28:07.520087+00,,2020-11-05 16:27:54.791116+00,,1,0,1,0
3394,pg_catalog,pg_init_privs,0,0,25,12,12,11,1,10,184,9,18,2020-11-05 16:28:07.510864+00,,2020-11-05 16:27:54.789064+00,,1,0,1,0
2602,pg_catalog,pg_amop,0,0,16336,27306,0,0,0,0,717,0,0,2020-11-05 16:28:07.509023+00,,2020-11-05 16:27:54.785242+00,,1,0,1,0
2838,pg_toast,pg_toast_2618,0,0,3195,10731,0,0,0,0,258,0,0,2020-11-05 16:28:07.507076+00,,,,1,0,0,0
2615,pg_catalog,pg_namespace,585,1876,6659,4330,0,0,0,0,4,0,0,2020-11-05 16:28:07.51839+00,,2020-11-05 16:27:54.790116+00,,1,0,1,0
4165,pg_toast,pg_toast_3350,0,0,0,0,0,0,0,0,0,0,0,2020-11-05 16:28:07.544582+00,,,,1,0,0,0
2840,pg_toast,pg_toast_2619,0,0,296413,690270,1525,0,1443,0,94,61,2968,2020-11-05 16:28:07.504801+00,2020-11-05 20:44:31.706365+00,,,1,17,0,0
3598,pg_toast,pg_toast_3596,0,0,0,0,0,0,0,0,0,0,0,2020-11-05 16:28:07.543639+00,,,,1,0,0,0
2966,pg_toast,pg_toast_2964,0,0,0,0,0,0,0,0,0,0,0,2020-11-05 16:28:07.543301+00,,,,3,0,0,0
3541,pg_catalog,pg_range,0,0,519,0,0,0,0,0,6,0,0,2020-11-05 16:28:07.525319+00,,2020-11-05 16:27:54.792547+00,,1,0,1,0
1214,pg_catalog,pg_shdepend,0,0,87,58,14,0,0,0,23,0,0,2020-11-05 16:28:07.51894+00,,2020-11-05 16:27:54.790775+00,,3,0,3,0
3600,pg_catalog,pg_ts_dict,0,0,0,0,0,0,0,0,23,0,0,2020-11-05 16:28:07.521724+00,,2020-11-05 16:27:54.791653+00,,1,0,1,0
3764,pg_catalog,pg_ts_template,0,0,0,0,0,0,0,0,5,0,0,2020-11-05 16:28:07.522354+00,,2020-11-05 16:27:54.78961+00,,1,0,1,0
1255,pg_catalog,pg_proc,76,222259,123886,153599,21,34,1,20,2870,16,35,2020-11-05 16:28:07.499886+00,,2020-11-05 16:27:54.777033+00,,1,0,1,0
2610,pg_catalog,pg_index,125,9083,178836,188963,11,8,0,8,165,0,0,2020-11-05 16:28:07.50756+00,,2020-11-05 16:27:54.786161+00,,1,0,1,0
13279,pg_toast,pg_toast_13277,0,0,0,0,0,0,0,0,0,0,0,2020-11-05 16:28:07.508263+00,,,,1,0,0,0
1213,pg_catalog,pg_tablespace,138,275,2215,1703,0,0,0,0,2,0,0,2020-11-05 16:28:07.518343+00,,2020-11-05 16:27:54.790516+00,,3,0,3,0
1262,pg_catalog,pg_database,852,3195,9755,9753,1,0,0,0,4,0,0,2020-11-05 16:28:07.518016+00,,2020-11-05 16:27:54.79059+00,,3,0,3,0
1259,pg_catalog,pg_class,803,253123,624669,622350,22,14,0,14,406,0,0,2020-11-05 16:28:07.505098+00,,2020-11-05 16:27:54.78308+00,,1,0,1,0
3430,pg_toast,pg_toast_3429,0,0,0,0,0,0,0,0,0,0,0,2020-11-05 16:28:07.543496+00,,,,1,0,0,0
2617,pg_catalog,pg_operator,0,0,32309,129380,0,0,0,0,778,0,0,2020-11-05 16:28:07.50623+00,,2020-11-05 16:27:54.781081+00,,1,0,1,0
2603,pg_catalog,pg_amproc,16,40,7632,12708,0,0,0,0,449,0,0,2020-11-05 16:28:07.509714+00,,2020-11-05 16:27:54.787032+00,,1,0,1,0
2336,pg_toast,pg_toast_2620,0,0,0,0,0,0,0,0,0,0,0,2020-11-05 16:28:07.542993+00,,,,1,0,0,0
3429,pg_catalog,pg_statistic_ext_data,0,0,0,0,0,0,0,0,0,0,0,2020-11-05 16:28:07.542992+00,,2020-11-05 16:27:54.793889+00,,1,0,1,0
2609,pg_catalog,pg_description,0,0,7,2,4,2,0,2,4666,0,1,2020-11-05 16:28:07.501381+00,,2020-11-05 16:27:54.778164+00,,1,0,1,0
3576,pg_catalog,pg_transform,0,0,19,0,0,0,0,0,0,0,0,2020-11-05 16:28:07.527208+00,,2020-11-05 16:27:54.792743+00,,1,0,1,0
2601,pg_catalog,pg_am,2217,2217,0,0,0,0,0,0,7,0,0,2020-11-05 16:28:07.517787+00,,2020-11-05 16:27:54.789713+00,,1,0,1,0
4167,pg_toast,pg_toast_3256,0,0,0,0,0,0,0,0,0,0,0,2020-11-05 16:28:07.529742+00,,,,1,0,0,0
