userid,dbid,queryid,query,calls,total_time,min_time,max_time,mean_time,stddev_time,rows,shared_blks_hit,shared_blks_read,shared_blks_dirtied,shared_blks_written,local_blks_hit,local_blks_read,local_blks_dirtied,local_blks_written,temp_blks_read,temp_blks_written,blk_read_time,blk_write_time
10,16385,4781283453004295250,GRANT EXECUTE ON FUNCTION pgstathashindex(regclass) TO pg_stat_scan_tables,1,0.052245,0.052245,0.052245,0.052245,0,0,30,0,3,1,0,0,0,0,0,0,0,0
10,16385,-6766677562622511123,COPY (SELECT * FROM pg_stat_statements) TO stdout WITH CSV HEADER,1,8.886481,8.886481,8.886481,8.886481,0,8,35,5,0,0,0,0,0,0,0,0,0,0
16384,16385,8448155763064285664,"SELECT SUM(ol_amount)                 FROM order_line
WHERE ol_o_id = d_no_o_id AND ol_d_id = d_d_id
AND ol_w_id = d_w_id",91265750,8083851.515056266,0.005214000000000001,51684.147173,0.08857486532524433,18.904664574206308,91265750,954755514,120,1,84,0,0,0,0,0,0,0,0
10,13448,-2538216402246000971,"SELECT i.schemaname AS schema_name, i.indexrelname AS index_name, s.idx_scan, s.idx_tup_read, s.idx_tup_fetch, i.idx_blks_read, i.idx_blks_hit FROM pg_stat_all_indexes s JOIN pg_statio_all_indexes i ON s.indexrelid = i.indexrelid",5,63.096484000000004,12.339401,12.952942,12.6192968,0.19665467961215657,795,9635,10,0,8,0,0,0,0,0,0,0,0
16384,16385,-5864015298206844049,"SELECT o_id, o_carrier_id, o_entry_d 
                                          FROM
(SELECT o_id, o_carrier_id, o_entry_d
FROM orders where o_d_id = os_d_id AND o_w_id = os_w_id and o_c_id=os_c_id
ORDER BY o_id DESC) AS SUBQUERY
LIMIT $4",9121623,4403539.192189995,0.001111,55149.242306,0.48275829774917367,37.17513750504106,8000695,28220144,14071191,2686933,9731318,0,0,0,0,0,0,0,0
10,13448,-8153513440251185629,SHOW debug_print_plan,4,0.004392,0.000602,0.001799,0.001098,0.00044825494977746765,0,0,0,0,0,0,0,0,0,0,0,0,0
16384,16385,535210619853203150,"SELECT i_price, i_name, i_data                                       FROM item WHERE i_id = no_ol_i_id",912319674,17239989.050301645,0.002069,17.542971,0.018896873038701818,0.1156372485675088,911397139,2736036487,0,0,0,0,0,0,0,0,0,0,0
10,16385,9007054616624864831,COPY (SELECT sum(size) AS wal_size FROM pg_ls_waldir()) TO stdout WITH CSV HEADER,1,5.796881,5.796881,5.796881,5.796881,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,13448,-7700662603662758466,SHOW debug_print_rewritten,4,0.0057859999999999995,0.000755,0.002443,0.0014465,0.0006853734383531361,0,0,0,0,0,0,0,0,0,0,0,0,0
10,16385,-1223765790011969516,"COPY (SELECT c.oid, c.relname, c.relkind, st.* FROM pg_class AS c, pgstattuple(c.oid::regclass) AS st WHERE c.relnamespace = (SELECT oid FROM pg_namespace WHERE nspname = 'public') AND relkind IN ('r', 'i') ORDER BY relkind, relname) TO stdout WITH CSV HEADER",1,152244.369107,152244.369107,152244.369107,152244.369107,0,19,20741262,24788738,0,0,0,0,0,0,0,0,0,0
16384,16385,-419445515445068817,"SELECT d_next_o_id                  FROM district
    WHERE d_w_id=st_w_id AND d_id=st_d_id",9123385,909182.5830889902,0.004699,321.38562199999996,0.09965408486970431,0.5101095271544228,9123385,53800619,394,536,280,0,0,0,0,0,0,0,0
10,13448,8587080389022159474,SHOW log_truncate_on_rotation,4,0.0088,0.001522,0.003192,0.0022,0.0006110990099811978,0,0,0,0,0,0,0,0,0,0,0,0,0
10,13448,-2834190937518791816,SHOW log_directory,4,0.007141999999999999,0.001311,0.002595,0.0017855,0.0004861236982497356,0,0,0,0,0,0,0,0,0,0,0,0,0
16384,16385,4585908510153829407,"UPDATE customer
SET c_balance = p_c_balance, c_data = p_c_new_data
WHERE c_w_id = p_c_w_id AND c_d_id = p_c_d_id AND
c_id = p_c_id",42805697,2349436.2432364332,0.008057,44305.416328,0.054886064423525366,6.870658789340763,42805697,295596807,2474137,32356362,2158764,0,0,0,0,0,0,0,0
16384,16385,-1509001352764885261,"select payment($1,$2,$3,$4,$5,$6,$7,$8,$9,$10)",91227030,289121696.648945,0.127656,54698.974383,3.169254733480486,79.91319457421403,91227030,4547703552,526326267,144240014,366082909,0,0,0,0,0,0,0,0
10,13448,-6363133595459221451,SELECT $1,297,1.1300420000000002,0.0019309999999999998,0.020020000000000003,0.0038048552188552176,0.0017430606279690312,297,0,0,0,0,0,0,0,0,0,0,0,0
10,16385,-8610820246424350903,CREATE EXTENSION IF NOT EXISTS pgstattuple,1,117.371234,117.371234,117.371234,117.371234,0,0,1470,69,48,5,0,0,0,0,0,0,0,0
10,13448,3118381099387576881,"SELECT blocked_activity.pid                     AS blocked_pid,
		blocked_activity.usename                 AS blocked_user,
		blocked.mode                             AS locktype,
		blocking_activity.pid                    AS blocking_pid,
		blocking_activity.usename                AS blocking_user,
		blocking_activity.datname                AS database_name,
		now() - blocking_activity.query_start    AS blocking_duration,
		now() - blocked_activity.query_start     AS blocked_duration,
		blocking_activity.query_start            AS blocking_query_start,
		blocked_activity.query_start             AS blocked_query_start,
		blocked_activity.query                   AS blocked_statement,
		blocking_activity.query                  AS current_statement_in_blocking_process,
		blocked_activity.application_name        AS blocked_application,
		blocking_activity.application_name       AS blocking_application
	FROM pg_catalog.pg_stat_activity AS blocked_activity
	JOIN pg_catalog.pg_stat_activity AS blocking_activity ON blocking_activity.pid = ANY (pg_blocking_pids(blocked_activity.pid))
	JOIN pg_catalog.pg_locks AS blocked ON blocked.pid = blocked_activity.pid
	WHERE NOT blocked.granted",27,30589.115454000006,1.136696,2069.249437,1132.9302020000002,550.6526006672441,168,234,0,0,0,0,0,0,0,0,0,0,0
10,13448,8695233458571796599,"SELECT pg_catalog.version() AS version_string, ((select setting from pg_settings where name = $1)::decimal * (select setting from pg_settings where name = $2)::decimal / ($3 * $4))::numeric AS shared_buffers_mb, ((select setting from pg_settings where name = $5)::decimal * (select setting from pg_settings where name = $6)::decimal / ($7 * $8))::numeric AS temp_buffers_mb, ((select setting from pg_settings where name = $9)::decimal * (select setting from pg_settings where name = $10)::decimal / ($11 * $12))::numeric AS effective_cache_size_mb, ((select setting from pg_settings where name = $13)::decimal * (select setting from pg_settings where name = $14)::decimal / ($15 * $16))::numeric AS segment_size_mb, ((select setting from pg_settings where name = $17)::decimal * (select setting from pg_settings where name = $18)::decimal / ($19 * $20))::numeric AS wal_segment_size_mb, ((select setting from pg_settings where name = $21)::decimal * (select setting from pg_settings where name = $22)::decimal / ($23 * $24))::numeric AS wal_buffers_mb, (SELECT pg_postmaster_start_time())::timestamptz AS server_start_time",21,186.251787,6.557717,10.333278,8.869132714285715,1.0474104234269592,21,0,0,0,0,0,0,0,0,0,0,0,0
10,16385,7678840415924500974,"COPY (SELECT oid, relname, relkind, pg_table_size(oid) AS size, pg_size_pretty(pg_table_size(oid)) AS size_pretty FROM pg_class WHERE relnamespace = (SELECT oid FROM pg_namespace WHERE nspname = $1) AND relkind IN ($2, $3) ORDER BY relname) TO stdout WITH CSV HEADER",1,1.100373,1.100373,1.100373,1.100373,0,19,239,7,0,0,0,0,0,0,0,0,0,0
10,13448,3087330719923255368,SELECT * FROM pg_catalog.pg_rewrite WHERE ev_class = $1 AND rulename = $2,3348,40.69149699999991,0.0019089999999999999,2.265184,0.01215397162485067,0.06388939715489657,3348,6274,422,0,282,0,0,0,0,0,0,0,0
10,13448,4390283800491518311,SELECT version(),852,5.387936999999996,0.0038650000000000004,0.019294,0.006323869718309851,0.0014434681910151992,852,0,0,0,0,0,0,0,0,0,0,0,0
10,13448,-927427292071509407,"SELECT n.nspname AS schema_name, c.relname AS view_name, age(c.relfrozenxid) AS frozenxid FROM pg_class c, pg_namespace n WHERE c.relnamespace = n.oid AND c.relkind = $1",1,0.272513,0.272513,0.272513,0.272513,0,0,5,8,0,3,0,0,0,0,0,0,0,0
10,13448,-8828646613545995663,SHOW log_connections,4,0.005348,0.0006,0.002509,0.001337,0.0007165378566412245,0,0,0,0,0,0,0,0,0,0,0,0,0
10,16385,7889668247544608713,REVOKE EXECUTE ON FUNCTION pgstatindex(text) FROM PUBLIC,1,0.022231,0.022231,0.022231,0.022231,0,0,9,0,0,0,0,0,0,0,0,0,0,0
10,16385,-1893876962091545561,"SELECT c.relname AS index_name, r.relname AS table_name, i.indkey AS ind_keys FROM pg_catalog.pg_class c, pg_catalog.pg_namespace n, pg_catalog.pg_index i, pg_catalog.pg_class r WHERE c.relkind = $2 AND c.relnamespace = n.oid AND n.nspname = $1 AND c.oid = i.indexrelid AND r.oid = i.indrelid",81,46.74514,0.114774,2.010595,0.5771004938271607,0.4105935650972109,3429,18137,385,0,259,0,0,0,0,0,0,0,0
10,16385,-7114524403290099261,SELECT nspname AS schema_name FROM pg_catalog.pg_namespace WHERE nspname = $1 OR nspname NOT LIKE $2,27,0.38834699999999994,0.00952,0.020239,0.01438322222222222,0.003299431941380586,81,27,0,0,0,0,0,0,0,0,0,0,0
10,16385,-9141043935656865573,"CREATE FUNCTION pgstatindex(IN relname regclass,
    OUT version INT,
    OUT tree_level INT,
    OUT index_size BIGINT,
    OUT root_block_no BIGINT,
    OUT internal_pages BIGINT,
    OUT leaf_pages BIGINT,
    OUT empty_pages BIGINT,
    OUT deleted_pages BIGINT,
    OUT avg_leaf_density FLOAT8,
    OUT leaf_fragmentation FLOAT8)
AS '$libdir/pgstattuple', 'pgstatindexbyid'
LANGUAGE C STRICT PARALLEL SAFE",1,3.337299,3.337299,3.337299,3.337299,0,0,71,1,1,0,0,0,0,0,0,0,0,0
