oid,relname,relkind,size,size_pretty
16404,customer,r,36461223936,34 GB
16434,customer_i1,i,1892573184,1805 MB
16450,customer_i2,i,3494789120,3333 MB
16410,district,r,2490368,2432 kB
16436,district_i1,i,466944,456 kB
16413,history,r,4819329024,4596 MB
16416,item,r,10665984,10 MB
16438,item_i1,i,2260992,2208 kB
16419,new_order,r,797302784,760 MB
16440,new_order_i1,i,567779328,541 MB
16422,order_line,r,55870971904,52 GB
16442,order_line_i1,i,18925764608,18 GB
16425,orders,r,3615145984,3448 MB
16444,orders_i1,i,1892573184,1805 MB
16451,orders_i2,i,1892573184,1805 MB
16428,stock,r,68378025984,64 GB
16446,stock_i1,i,4492353536,4284 MB
16431,warehouse,r,270336,264 kB
16448,warehouse_i1,i,65536,64 kB
