oid,relname,relkind,size,size_pretty
16404,customer,r,41883066368,39 GB
16434,customer_i1,i,1922449408,1833 MB
16450,customer_i2,i,3702898688,3531 MB
16410,district,r,354066432,338 MB
16436,district_i1,i,18513920,18 MB
16413,history,r,9333104640,8901 MB
16416,item,r,10665984,10 MB
16438,item_i1,i,2260992,2208 kB
16419,new_order,r,1173823488,1119 MB
16440,new_order_i1,i,950124544,906 MB
16422,order_line,r,129020772352,120 GB
16442,order_line_i1,i,52119846912,49 GB
16425,orders,r,8022958080,7651 MB
16444,orders_i1,i,5050277888,4816 MB
16451,orders_i2,i,5036032000,4803 MB
16428,stock,r,76572721152,71 GB
16446,stock_i1,i,4699815936,4482 MB
16431,warehouse,r,29499392,28 MB
16448,warehouse_i1,i,1196032,1168 kB
