userid,dbid,queryid,query,calls,total_time,min_time,max_time,mean_time,stddev_time,rows,shared_blks_hit,shared_blks_read,shared_blks_dirtied,shared_blks_written,local_blks_hit,local_blks_read,local_blks_dirtied,local_blks_written,temp_blks_read,temp_blks_written,blk_read_time,blk_write_time
10,13433,-6887975327946995770,SET client_encoding TO 'utf8',2,0.019323,0.009345,0.009978,0.0096615,0.0003165000000000008,0,0,0,0,0,0,0,0,0,0,0,0,0
10,13433,-7633766044836245533,SELECT setting from pg_catalog.pg_settings where name = $1,1,0.648851,0.648851,0.648851,0.648851,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,16385,6425910584067443383,COPY (SELECT * FROM pg_stat_database) TO stdout WITH CSV HEADER,1,10061.077359,10061.077359,10061.077359,10061.077359,0,5,1,0,0,0,0,0,0,0,0,0,0,0
10,13433,4390283800491518311,SELECT version(),2,0.019495,0.008236,0.011259,0.0097475,0.0015114999999999994,2,0,0,0,0,0,0,0,0,0,0,0,0
10,16385,-6767559790556280863,COPY (SELECT * FROM pg_stat_all_tables) TO stdout WITH CSV HEADER,1,10064.578875000001,10064.578875000001,10064.578875000001,10064.578875000001,0,116,16,2,0,0,0,0,0,0,0,0,0,0
10,16385,-1712481118449147880,COPY (SELECT * FROM pg_stat_all_indexes) TO stdout WITH CSV HEADER,1,486.444413,486.444413,486.444413,486.444413,0,167,956,4,0,0,0,0,0,0,0,0,0,0
10,16385,-3832115078929431881,COPY (SELECT * FROM pg_stat_all_tables) TO stdout WITH CSV HEADER,1,10066.713217,10066.713217,10066.713217,10066.713217,0,116,483,47,0,0,0,0,0,0,0,0,0,0
10,16385,6465064219195468563,COPY (SELECT * FROM pg_stat_bgwriter) TO stdout WITH CSV HEADER,1,0.115993,0.115993,0.115993,0.115993,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,16385,5707888583666259747,COPY (SELECT * FROM pg_stat_all_indexes) TO stdout WITH CSV HEADER,1,484.676411,484.676411,484.676411,484.676411,0,167,522,0,0,0,0,0,0,0,0,0,0,0
10,13433,-6363133595459221451,SELECT $1,1,0.001928,0.001928,0.001928,0.001928,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,16385,435174621275570554,COPY (SELECT * FROM pg_stat_database) TO stdout WITH CSV HEADER,1,10063.880914,10063.880914,10063.880914,10063.880914,0,5,111,47,0,0,0,0,0,0,0,0,0,0
10,16385,-5109480985238204195,COPY (SELECT * FROM pg_stat_bgwriter) TO stdout WITH CSV HEADER,1,0.4937,0.4937,0.4937,0.4937,0,1,62,2,0,0,0,0,0,0,0,0,0,0
