oid,relname,relkind,table_len,tuple_count,tuple_len,tuple_percent,dead_tuple_count,dead_tuple_len,dead_tuple_percent,free_space,free_percent
16434,customer_i1,i,1914544128,60522717,1452545208,75.87,495589,11894136,0.62,179941812,9.4
16450,customer_i2,i,3588153344,61294848,2911816552,81.15,1129263,53743376,1.5,307945776,8.58
16436,district_i1,i,15376384,20000,320000,2.08,0,0,0,14791212,96.19
16438,item_i1,i,2260992,100000,1600000,70.77,0,0,0,227092,10.04
16440,new_order_i1,i,1093476352,18316809,439603416,40.2,898157,21555768,1.97,544981236,49.84
16442,order_line_i1,i,56169283584,1458453315,35002879560,62.32,8811356,211472544,0.38,14258342656,25.38
16444,orders_i1,i,5313961984,128124664,3074991936,57.87,0,0,0,1652718324,31.1
16451,orders_i2,i,5288067072,128124659,3074991816,58.15,6,144,0,1627389800,30.77
16446,stock_i1,i,4531453952,204669519,3274712304,72.27,2614686,41834976,0.92,334575184,7.38
16448,warehouse_i1,i,1245184,2000,32000,2.57,0,0,0,1179220,94.7
16404,customer,r,41648652288,60000000,35208026330,84.54,2158976,1285667074,3.09,4442143752,10.67
16410,district,r,298459136,20000,2287779,0.77,0,0,0,284393372,95.29
16413,history,r,9973702656,125750353,8977029986,90.01,0,0,0,44154376,0.44
16416,item,r,10633216,100000,9786945,92.04,0,0,0,57844,0.54
16419,new_order,r,1238614016,18307982,622471388,50.26,865187,29416358,2.37,347124432,28.03
16422,order_line,r,136508694528,1257523760,107381246812,78.66,74170602,6374770228,4.67,11216521924,8.22
16425,orders,r,8412930048,125750877,6502429640,77.29,693436,34748668,0.41,538062260,6.4
16428,stock,r,75893940224,200000000,66181729614,87.2,10232391,3386579443,4.46,4224941384,5.57
16431,warehouse,r,143761408,2000,218058,0.15,0,0,0,137937464,95.95
