oid,relname,version,tree_level,index_size,root_block_no,internal_pages,leaf_pages,empty_pages,deleted_pages,avg_leaf_density,leaf_fragmentation
16434,customer_i1,4,3,1933000704,41827,1140,234821,0,0,94.37,2.1
16450,customer_i2,4,3,3811483648,17574,3342,461926,0,0,89.58,8.36
16436,district_i1,4,2,17842176,412,8,2169,0,0,2.56,49.7
16438,item_i1,4,1,2260992,3,1,274,0,0,89.83,0
16440,new_order_i1,4,3,1075044352,42442,630,83097,0,47503,84.02,8.27
16442,order_line_i1,4,3,50896330752,41827,36787,6176143,0,0,76.51,28.02
16444,orders_i1,4,3,5036064768,41827,3025,611728,0,0,65.11,27.23
16451,orders_i2,4,3,5002174464,41827,3046,607570,0,0,65.56,35.54
16446,stock_i1,4,3,4680368128,81517,1979,569354,0,0,90.71,4.02
16448,warehouse_i1,4,1,2375680,3,1,288,0,0,2,49.31
