relid,schemaname,relname,seq_scan,seq_tup_read,idx_scan,idx_tup_fetch,n_tup_ins,n_tup_upd,n_tup_del,n_tup_hot_upd,n_live_tup,n_dead_tup,n_mod_since_analyze,last_vacuum,last_autovacuum,last_analyze,last_autoanalyze,vacuum_count,autovacuum_count,analyze_count,autoanalyze_count
3541,pg_catalog,pg_range,0,0,9,0,0,0,0,0,6,0,0,2020-11-10 20:08:13.066942+00,,2020-11-10 20:08:00.555232+00,,1,0,1,0
3600,pg_catalog,pg_ts_dict,0,0,0,0,0,0,0,0,23,0,0,2020-11-10 20:08:13.064818+00,,2020-11-10 20:08:00.55429+00,,1,0,1,0
3764,pg_catalog,pg_ts_template,0,0,0,0,0,0,0,0,5,0,0,2020-11-10 20:08:13.066379+00,,2020-11-10 20:08:00.554635+00,,1,0,1,0
1213,pg_catalog,pg_tablespace,60,119,720,500,0,0,0,0,2,0,0,2020-11-10 20:08:13.060342+00,,2020-11-10 20:08:00.55303+00,,3,0,3,0
1259,pg_catalog,pg_class,351,114733,9862,9342,22,14,0,14,409,0,0,2020-11-10 20:08:13.030796+00,,2020-11-10 20:08:00.546159+00,,1,0,1,0
2617,pg_catalog,pg_operator,0,0,2326,5198,0,0,0,0,778,0,0,2020-11-10 20:08:13.030353+00,,2020-11-10 20:08:00.544581+00,,1,0,1,0
2603,pg_catalog,pg_amproc,8,20,1019,1833,0,0,0,0,449,0,0,2020-11-10 20:08:13.054301+00,,2020-11-10 20:08:00.549537+00,,1,0,1,0
13303,pg_toast,pg_toast_13301,0,0,0,0,0,0,0,0,0,0,0,2020-11-10 20:08:13.068065+00,,,,1,0,0,0
2336,pg_toast,pg_toast_2620,0,0,0,0,0,0,0,0,0,0,0,2020-11-10 20:08:13.071273+00,,,,1,0,0,0
2609,pg_catalog,pg_description,0,0,6,2,3,2,0,2,4653,0,0,2020-11-10 20:08:13.013488+00,,2020-11-10 20:08:00.542061+00,,1,0,1,0
13298,pg_toast,pg_toast_13296,0,0,0,0,0,0,0,0,0,0,0,2020-11-10 20:08:13.067951+00,,,,1,0,0,0
2611,pg_catalog,pg_inherits,0,0,0,0,0,0,0,0,0,0,0,2020-11-10 20:08:13.072589+00,,2020-11-10 20:08:00.556752+00,,1,0,1,0
16428,public,stock,3,200000000,0,0,200000000,0,0,0,200000000,0,0,2020-11-10 20:25:31.49743+00,,2020-11-10 20:08:01.00582+00,,1,0,1,0
4143,pg_toast,pg_toast_826,0,0,0,0,0,0,0,0,0,0,0,2020-11-10 20:08:13.070801+00,,,,1,0,0,0
1418,pg_catalog,pg_user_mapping,0,0,0,0,0,0,0,0,0,0,0,2020-11-10 20:08:13.072425+00,,2020-11-10 20:08:00.55579+00,,1,0,1,0
6106,pg_catalog,pg_publication_rel,0,0,0,0,0,0,0,0,0,0,0,2020-11-10 20:08:13.068576+00,,2020-11-10 20:08:00.555996+00,,1,0,1,0
6000,pg_catalog,pg_replication_origin,0,0,0,0,0,0,0,0,0,0,0,2020-11-10 20:08:13.069317+00,,2020-11-10 20:08:00.556332+00,,3,0,3,0
4145,pg_toast,pg_toast_3466,0,0,0,0,0,0,0,0,0,0,0,2020-11-10 20:08:13.071271+00,,,,1,0,0,0
2619,pg_catalog,pg_statistic,1,410,2604,2787,92,410,0,0,502,0,502,2020-11-10 20:08:13.016172+00,,,,1,0,0,0
2995,pg_catalog,pg_largeobject_metadata,0,0,0,0,0,0,0,0,0,0,0,2020-11-10 20:08:13.072227+00,,2020-11-10 20:08:00.556631+00,,1,0,1,0
4177,pg_toast,pg_toast_1262,0,0,0,0,0,0,0,0,0,0,0,2020-11-10 20:08:13.060082+00,,,,3,0,0,0
13301,information_schema,sql_sizing,0,0,,,0,0,0,0,23,0,0,2020-11-10 20:08:13.067111+00,,2020-11-10 20:08:00.555498+00,,1,0,1,0
13296,information_schema,sql_parts,0,0,,,0,0,0,0,9,0,0,2020-11-10 20:08:13.067461+00,,2020-11-10 20:08:00.556163+00,,1,0,1,0
6102,pg_catalog,pg_subscription_rel,0,0,0,0,0,0,0,0,0,0,0,2020-11-10 20:08:13.068435+00,,2020-11-10 20:08:00.556151+00,,1,0,1,0
4169,pg_toast,pg_toast_3600,0,0,0,0,0,0,0,0,0,0,0,2020-11-10 20:08:13.065277+00,,,,1,0,0,0
2618,pg_catalog,pg_rewrite,0,0,2282,2298,1,0,0,0,128,0,0,2020-11-10 20:08:13.030443+00,,2020-11-10 20:08:00.545189+00,,1,0,1,0
4060,pg_toast,pg_toast_3592,0,0,0,0,0,0,0,0,0,0,0,2020-11-10 20:08:13.073199+00,,,,3,0,0,0
16413,public,history,0,0,,,60000000,0,0,0,60000000,0,0,2020-11-10 20:09:59.461863+00,,2020-11-10 20:08:12.876837+00,,1,0,1,0
13293,pg_toast,pg_toast_13291,0,0,0,0,0,0,0,0,0,0,0,2020-11-10 20:08:13.067715+00,,,,1,0,0,0
3596,pg_catalog,pg_seclabel,0,0,1,0,0,0,0,0,0,0,0,2020-11-10 20:08:13.072813+00,,2020-11-10 20:08:00.556996+00,,1,0,1,0
2604,pg_catalog,pg_attrdef,0,0,0,0,0,0,0,0,0,0,0,2020-11-10 20:08:13.073081+00,,2020-11-10 20:08:00.556887+00,,1,0,1,0
4171,pg_toast,pg_toast_1247,0,0,0,0,0,0,0,0,0,0,0,2020-11-10 20:08:13.031488+00,,,,1,0,0,0
16404,public,customer,6,120000000,0,0,60000000,0,0,0,60000000,0,0,2020-11-10 20:18:32.42745+00,,2020-11-10 20:08:00.911894+00,,1,0,1,0
3592,pg_catalog,pg_shseclabel,0,0,0,0,0,0,0,0,0,0,0,2020-11-10 20:08:13.073116+00,,2020-11-10 20:08:00.557047+00,,3,0,3,0
3603,pg_catalog,pg_ts_config_map,0,0,0,0,0,0,0,0,437,0,0,2020-11-10 20:08:13.05429+00,,2020-11-10 20:08:00.550413+00,,1,0,1,0
4157,pg_toast,pg_toast_2612,0,0,0,0,0,0,0,0,0,0,0,2020-11-10 20:08:13.058902+00,,,,1,0,0,0
4155,pg_toast,pg_toast_3394,0,0,0,0,0,0,0,0,0,0,0,2020-11-10 20:08:13.055446+00,,,,1,0,0,0
1417,pg_catalog,pg_foreign_server,0,0,0,0,0,0,0,0,0,0,0,2020-11-10 20:08:13.089721+00,,2020-11-10 20:08:00.557086+00,,1,0,1,0
16431,public,warehouse,1,2000,0,0,2000,0,0,0,2000,0,0,2020-11-10 20:08:13.015266+00,,2020-11-10 20:08:00.544154+00,,1,0,1,0
16410,public,district,1,20000,0,0,20000,0,0,0,20000,0,0,2020-11-10 20:08:13.015819+00,,2020-11-10 20:08:00.601491+00,,1,0,1,0
1247,pg_catalog,pg_type,0,0,5482,5356,21,19,0,17,422,0,0,2020-11-10 20:08:13.031015+00,,2020-11-10 20:08:00.548935+00,,1,0,1,0
3256,pg_catalog,pg_policy,0,0,0,0,0,0,0,0,0,0,0,2020-11-10 20:08:13.069501+00,,2020-11-10 20:08:00.556388+00,,1,0,1,0
4147,pg_toast,pg_toast_3079,0,0,0,0,0,0,0,0,0,0,0,2020-11-10 20:08:13.066027+00,,,,1,0,0,0
6104,pg_catalog,pg_publication,0,0,0,0,0,0,0,0,0,0,0,2020-11-10 20:08:13.068261+00,,2020-11-10 20:08:00.555899+00,,1,0,1,0
3601,pg_catalog,pg_ts_parser,0,0,0,0,0,0,0,0,1,0,0,2020-11-10 20:08:13.065733+00,,2020-11-10 20:08:00.554249+00,,1,0,1,0
2396,pg_catalog,pg_shdescription,0,0,0,0,0,0,0,0,3,0,0,2020-11-10 20:08:13.061389+00,,2020-11-10 20:08:00.553282+00,,3,0,3,0
2606,pg_catalog,pg_constraint,28,171,64,0,8,0,0,0,10,0,0,2020-11-10 20:08:13.058369+00,,2020-11-10 20:08:00.552782+00,,1,0,1,0
3602,pg_catalog,pg_ts_config,0,0,60,60,0,0,0,0,23,0,0,2020-11-10 20:08:13.064155+00,,2020-11-10 20:08:00.553692+00,,1,0,1,0
2602,pg_catalog,pg_amop,0,0,2198,3288,0,0,0,0,717,0,0,2020-11-10 20:08:13.033136+00,,2020-11-10 20:08:00.548005+00,,1,0,1,0
2838,pg_toast,pg_toast_2618,0,0,1360,4628,0,0,0,0,255,0,0,2020-11-10 20:08:13.031978+00,,,,1,0,0,0
4165,pg_toast,pg_toast_3350,0,0,0,0,0,0,0,0,0,0,0,2020-11-10 20:08:13.09025+00,,,,1,0,0,0
1214,pg_catalog,pg_shdepend,0,0,68,39,14,0,0,0,23,0,0,2020-11-10 20:08:13.06116+00,,2020-11-10 20:08:00.553315+00,,3,0,3,0
1255,pg_catalog,pg_proc,31,86741,31443,32596,12,8,1,6,2852,0,0,2020-11-10 20:08:13.011797+00,,2020-11-10 20:08:00.541159+00,,1,0,1,0
2610,pg_catalog,pg_index,63,3619,4282,4377,11,8,0,8,167,0,0,2020-11-10 20:08:13.032245+00,,2020-11-10 20:08:00.549041+00,,1,0,1,0
1262,pg_catalog,pg_database,311,1171,3246,3244,1,0,0,0,4,0,0,2020-11-10 20:08:13.059986+00,,2020-11-10 20:08:00.552901+00,,3,0,3,0
3430,pg_toast,pg_toast_3429,0,0,0,0,0,0,0,0,0,0,0,2020-11-10 20:08:13.089711+00,,,,1,0,0,0
3429,pg_catalog,pg_statistic_ext_data,0,0,0,0,0,0,0,0,0,0,0,2020-11-10 20:08:13.073658+00,,2020-11-10 20:08:00.557059+00,,1,0,1,0
3576,pg_catalog,pg_transform,0,0,13,0,0,0,0,0,0,0,0,2020-11-10 20:08:13.089711+00,,2020-11-10 20:08:00.557183+00,,1,0,1,0
2601,pg_catalog,pg_am,504,504,0,0,0,0,0,0,7,0,0,2020-11-10 20:08:13.062674+00,,2020-11-10 20:08:00.552885+00,,1,0,1,0
4167,pg_toast,pg_toast_3256,0,0,0,0,0,0,0,0,0,0,0,2020-11-10 20:08:13.069936+00,,,,1,0,0,0
1249,pg_catalog,pg_attribute,45,3241,10403,27922,208,0,0,0,3061,0,0,2020-11-10 20:08:13.013186+00,,2020-11-10 20:08:00.537611+00,,1,0,1,0
1136,pg_catalog,pg_pltemplate,0,0,0,0,0,0,0,0,8,0,0,2020-11-10 20:08:13.060641+00,,2020-11-10 20:08:00.553164+00,,3,0,3,0
3381,pg_catalog,pg_statistic_ext,0,0,719,0,0,0,0,0,0,0,0,2020-11-10 20:08:13.070944+00,,2020-11-10 20:08:00.556707+00,,1,0,1,0
2607,pg_catalog,pg_conversion,0,0,0,0,0,0,0,0,128,0,0,2020-11-10 20:08:13.059763+00,,2020-11-10 20:08:00.551718+00,,1,0,1,0
4163,pg_toast,pg_toast_2615,0,0,0,0,0,0,0,0,0,0,0,2020-11-10 20:08:13.063417+00,,,,1,0,0,0
2832,pg_toast,pg_toast_2606,0,0,0,0,0,0,0,0,0,0,0,2020-11-10 20:08:13.058812+00,,,,1,0,0,0
2834,pg_toast,pg_toast_2609,0,0,0,0,0,0,0,0,0,0,0,2020-11-10 20:08:13.013933+00,,,,1,0,0,0
4161,pg_toast,pg_toast_3456,0,0,0,0,0,0,0,0,0,0,0,2020-11-10 20:08:13.03033+00,,,,1,0,0,0
