userid,dbid,queryid,query,plans,total_plan_time,min_plan_time,max_plan_time,mean_plan_time,stddev_plan_time,calls,total_exec_time,min_exec_time,max_exec_time,mean_exec_time,stddev_exec_time,rows,shared_blks_hit,shared_blks_read,shared_blks_dirtied,shared_blks_written,local_blks_hit,local_blks_read,local_blks_dirtied,local_blks_written,temp_blks_read,temp_blks_written,blk_read_time,blk_write_time,wal_records,wal_fpw,wal_bytes
16384,16385,-8177193649675968187,"select delivery($1,$2)",5675462,54405.100309999354,0.004079,2.109549,0.009586021421692258,0.002990112266215014,5675462,623793018.914185,1.291431,71939.83343799999,109.91052691643507,365.22682803664975,5675462,5320175221,130666534,134952207,94577327,0,0,0,0,0,0,0,0,1301557107,15281751,225129779271
10,16385,4781283453004295250,GRANT EXECUTE ON FUNCTION pgstathashindex(regclass) TO pg_stat_scan_tables,0,0,0,0,0,0,1,0.01761,0.01761,0.01761,0.01761,0,0,12,0,0,0,0,0,0,0,0,0,0,0,2,0,218
10,16385,-6766677562622511123,COPY (SELECT * FROM pg_stat_statements) TO stdout WITH CSV HEADER,0,0,0,0,0,0,1,1.210673,1.210673,1.210673,1.210673,0,9,78,7,0,0,0,0,0,0,0,0,0,0,0,0,0
10,16385,-2940745828441066592,"WITH
settings (block_size, shared_buffers, effective_cache_size) AS (
    VALUES (pg_size_bytes(current_setting($1)),
            pg_size_bytes(current_setting($2)),
            pg_size_bytes(current_setting($3)))
),
rels (oid, size) AS (
    SELECT oid, sum(relpages) OVER (ORDER BY relpages)
    FROM pg_class
    WHERE relnamespace = (SELECT oid FROM pg_namespace WHERE nspname = $4)
      AND relkind IN ($5, $6)
)
SELECT pg_prewarm(r.oid, CASE WHEN r.size * s.block_size <= s.shared_buffers THEN $7 ELSE $8 END)
FROM rels AS r,
     settings AS s
WHERE r.size * s.block_size <= GREATEST(s.shared_buffers, s.effective_cache_size)",1,0.565153,0.565153,0.565153,0.565153,0,1,78010.328433,78010.328433,78010.328433,78010.328433,0,19,99839,1188892,0,0,0,0,0,0,0,0,0,0,0,0,0
16384,16385,-612067243876128769,SELECT loop_counter,500,1.1014240000000006,0.001461,0.016721,0.0022028479999999994,0.0010174520887471805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,13434,-1257072994443807572,"SELECT ct.conname, ct.conkey, ct.confkey, nl.nspname AS fknsp, cl.relname AS fktab, nr.nspname AS refnsp, cr.relname AS reftab FROM pg_constraint ct JOIN pg_class cl ON cl.oid = ct.conrelid JOIN pg_namespace nl ON nl.oid = cl.relnamespace JOIN pg_class cr ON cr.oid = ct.confrelid JOIN pg_namespace nr ON nr.oid = cr.relnamespace JOIN pg_catalog.pg_namespace nc ON nc.oid = ct.connamespace WHERE contype=$2 AND nc.nspname = $1",81,213.67469399999996,0.928545,13.777959,2.6379591851851854,1.4612921563608121,81,4.67695,0.010693000000000001,0.440198,0.05774012345679012,0.06556756781195168,0,17433,2331,0,1524,0,0,0,0,0,0,0,0,0,0,0
10,16385,216036630461505403,COPY (SELECT * FROM pg_settings) TO stdout WITH CSV HEADER,1,0.099547,0.099547,0.099547,0.099547,0,1,1.195535,1.195535,1.195535,1.195535,0,335,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,16385,-1223765790011969516,"COPY (SELECT c.oid, c.relname, c.relkind, st.* FROM pg_class AS c, pgstattuple(c.oid::regclass) AS st WHERE c.relnamespace = (SELECT oid FROM pg_namespace WHERE nspname = 'public') AND relkind IN ('r', 'i') ORDER BY relkind, relname) TO stdout WITH CSV HEADER",0,0,0,0,0,0,1,141088.319726,141088.319726,141088.319726,141088.319726,0,19,20741343,24788739,0,0,0,0,0,0,0,0,0,0,4,0,252
16384,16385,8457438855670799992,"INSERT INTO ORDERS (o_id, o_d_id, o_w_id, o_c_id, o_entry_d, o_ol_cnt, o_all_local) VALUES (o_id, no_d_id, no_w_id, no_c_id, current_timestamp, no_o_ol_cnt, no_o_all_local)",7500,101.0663550000007,0.007186,0.119141,0.013475513999999985,0.0034328224770399447,56821665,5813081.877251622,0.011294,11304.797296,0.10230396939709543,4.364534255149923,56821665,481967721,44203464,45778598,31992745,0,0,0,0,0,0,0,0,171059923,2122596,26401238777
16384,16385,90500893403881250,"UPDATE order_line SET ol_delivery_d = current_timestamp
WHERE ol_o_id = d_no_o_id AND ol_d_id = d_d_id AND
ol_w_id = d_w_id",4500,484.05724699999985,0.016958,1.717456,0.10756827711111107,0.1407598964351562,56754620,331642262.9616121,0.01243,71803.39667,5.8434408152429285,75.04543711312789,567563645,2086919613,57168443,59839693,43948348,0,0,0,0,0,0,0,0,1030012909,8005141,151112699692
