relid,schemaname,relname,seq_scan,seq_tup_read,idx_scan,idx_tup_fetch,n_tup_ins,n_tup_upd,n_tup_del,n_tup_hot_upd,n_live_tup,n_dead_tup,n_mod_since_analyze,n_ins_since_vacuum,last_vacuum,last_autovacuum,last_analyze,last_autoanalyze,vacuum_count,autovacuum_count,analyze_count,autoanalyze_count
1259,pg_catalog,pg_class,353,114465,10383,9657,23,16,1,16,408,0,0,0,2020-11-11 13:53:57.306818+00,,2020-11-11 13:53:44.96551+00,,1,0,1,0
2603,pg_catalog,pg_amproc,8,28,1042,2615,0,0,0,0,483,0,0,0,2020-11-11 13:53:57.309426+00,,2020-11-11 13:53:44.968126+00,,1,0,1,0
2336,pg_toast,pg_toast_2620,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-11 13:53:57.335396+00,,,,1,0,0,0
2609,pg_catalog,pg_description,0,0,11,2,3,2,0,2,4774,0,0,0,2020-11-11 13:53:57.301561+00,,2020-11-11 13:53:44.961723+00,,1,0,1,0
4143,pg_toast,pg_toast_826,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-11 13:53:57.335982+00,,,,1,0,0,0
1418,pg_catalog,pg_user_mapping,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-11 13:53:57.33415+00,,2020-11-11 13:53:44.976001+00,,1,0,1,0
6106,pg_catalog,pg_publication_rel,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-11 13:53:57.329207+00,,2020-11-11 13:53:44.975104+00,,1,0,1,0
6000,pg_catalog,pg_replication_origin,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-11 13:53:57.329429+00,,2020-11-11 13:53:44.975382+00,,3,0,3,0
4145,pg_toast,pg_toast_3466,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-11 13:53:57.334309+00,,,,1,0,0,0
16416,public,district,1,20000,0,0,20000,0,0,0,20000,0,0,0,2020-11-11 13:53:57.305172+00,,2020-11-11 13:53:45.025695+00,,1,0,1,0
2995,pg_catalog,pg_largeobject_metadata,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-11 13:53:57.334932+00,,2020-11-11 13:53:44.975764+00,,1,0,1,0
4169,pg_toast,pg_toast_3600,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-11 13:53:57.323254+00,,,,1,0,0,0
2618,pg_catalog,pg_rewrite,0,0,2346,2359,2,0,1,0,131,0,0,0,2020-11-11 13:53:57.306876+00,,2020-11-11 13:53:44.964823+00,,1,0,1,0
4060,pg_toast,pg_toast_3592,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-11 13:53:57.336523+00,,,,3,0,0,0
13286,pg_toast,pg_toast_13284,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-11 13:53:57.308716+00,,,,1,0,0,0
2604,pg_catalog,pg_attrdef,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-11 13:53:57.327869+00,,2020-11-11 13:53:44.97515+00,,1,0,1,0
4171,pg_toast,pg_toast_1247,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-11 13:53:57.307659+00,,,,1,0,0,0
13301,pg_toast,pg_toast_13299,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-11 13:53:57.327156+00,,,,1,0,0,0
3603,pg_catalog,pg_ts_config_map,0,0,0,0,0,0,0,0,437,0,0,0,2020-11-11 13:53:57.310251+00,,2020-11-11 13:53:44.96955+00,,1,0,1,0
4155,pg_toast,pg_toast_3394,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-11 13:53:57.314631+00,,,,1,0,0,0
1417,pg_catalog,pg_foreign_server,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-11 13:53:57.329616+00,,2020-11-11 13:53:44.975301+00,,1,0,1,0
1247,pg_catalog,pg_type,0,0,5622,5489,23,19,2,19,432,0,0,0,2020-11-11 13:53:57.307242+00,,2020-11-11 13:53:44.968234+00,,1,0,1,0
16437,public,warehouse,1,2000,0,0,2000,0,0,0,2000,0,0,0,2020-11-11 13:53:57.304797+00,,2020-11-11 13:53:44.963423+00,,1,0,1,0
3256,pg_catalog,pg_policy,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-11 13:53:57.329889+00,,2020-11-11 13:53:44.975379+00,,1,0,1,0
3601,pg_catalog,pg_ts_parser,0,0,0,0,0,0,0,0,1,0,0,0,2020-11-11 13:53:57.322357+00,,2020-11-11 13:53:44.973497+00,,1,0,1,0
13294,information_schema,sql_parts,0,0,,,0,0,0,0,10,0,0,0,2020-11-11 13:53:57.326239+00,,2020-11-11 13:53:44.9747+00,,1,0,1,0
2396,pg_catalog,pg_shdescription,0,0,0,0,0,0,0,0,3,0,0,0,2020-11-11 13:53:57.320471+00,,2020-11-11 13:53:44.972614+00,,3,0,3,0
16410,public,customer,6,120000000,0,0,60000000,0,0,0,60000000,0,0,0,2020-11-11 14:04:05.163204+00,,2020-11-11 13:53:45.330363+00,,1,0,1,0
3602,pg_catalog,pg_ts_config,0,0,68,68,0,0,0,0,23,0,0,0,2020-11-11 13:53:57.321491+00,,2020-11-11 13:53:44.973123+00,,1,0,1,0
2602,pg_catalog,pg_amop,0,0,2262,3376,0,0,0,0,723,0,0,0,2020-11-11 13:53:57.311627+00,,2020-11-11 13:53:44.966938+00,,1,0,1,0
16425,public,new_order,3,18000000,0,0,18000000,0,0,0,18000000,0,0,0,2020-11-11 13:54:00.965585+00,,2020-11-11 13:53:45.211548+00,,1,0,1,0
2838,pg_toast,pg_toast_2618,0,0,1438,4788,2,0,0,0,263,0,2,0,2020-11-11 13:53:57.307018+00,,,,1,0,0,0
4165,pg_toast,pg_toast_3350,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-11 13:53:57.337894+00,,,,1,0,0,0
1255,pg_catalog,pg_proc,29,85261,32065,33304,13,8,2,5,2860,0,0,0,2020-11-11 13:53:57.298941+00,,2020-11-11 13:53:44.960703+00,,1,0,1,0
3430,pg_toast,pg_toast_3429,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-11 13:53:57.336367+00,,,,1,0,0,0
3576,pg_catalog,pg_transform,0,0,14,0,0,0,0,0,0,0,0,0,2020-11-11 13:53:57.327741+00,,2020-11-11 13:53:44.974812+00,,1,0,1,0
3381,pg_catalog,pg_statistic_ext,0,0,728,0,0,0,0,0,0,0,0,0,2020-11-11 13:53:57.333399+00,,2020-11-11 13:53:44.975669+00,,1,0,1,0
4163,pg_toast,pg_toast_2615,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-11 13:53:57.319902+00,,,,1,0,0,0
2834,pg_toast,pg_toast_2609,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-11 13:53:57.302064+00,,,,1,0,0,0
4161,pg_toast,pg_toast_3456,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-11 13:53:57.307269+00,,,,1,0,0,0
2836,pg_toast,pg_toast_1255,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-11 13:53:57.299591+00,,,,1,0,0,0
13291,pg_toast,pg_toast_13289,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-11 13:53:57.326751+00,,,,1,0,0,0
3456,pg_catalog,pg_collation,0,0,0,0,0,0,0,0,779,0,0,0,2020-11-11 13:53:57.306699+00,,2020-11-11 13:53:44.964909+00,,1,0,1,0
3439,pg_toast,pg_toast_3381,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-11 13:53:57.334292+00,,,,1,0,0,0
4153,pg_toast,pg_toast_3118,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-11 13:53:57.327702+00,,,,1,0,0,0
3466,pg_catalog,pg_event_trigger,0,0,2,0,0,0,0,0,0,0,0,0,2020-11-11 13:53:57.333402+00,,2020-11-11 13:53:44.975587+00,,1,0,1,0
2620,pg_catalog,pg_trigger,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-11 13:53:57.334918+00,,2020-11-11 13:53:44.975861+00,,1,0,1,0
4175,pg_toast,pg_toast_1260,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-11 13:53:57.323565+00,,,,3,0,0,0
4149,pg_toast,pg_toast_2328,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-11 13:53:57.329948+00,,,,1,0,0,0
6100,pg_catalog,pg_subscription,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-11 13:53:57.33518+00,,2020-11-11 13:53:44.975016+00,,3,0,3,0
2608,pg_catalog,pg_depend,0,0,615,750,108,0,11,0,7760,0,0,0,2020-11-11 13:53:57.301181+00,,2020-11-11 13:53:44.955468+00,,1,0,1,0
1260,pg_catalog,pg_authid,28,118,2179,2177,1,0,0,0,10,0,0,0,2020-11-11 13:53:57.323469+00,,2020-11-11 13:53:44.972235+00,,3,0,3,0
4159,pg_toast,pg_toast_2600,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-11 13:53:57.315807+00,,,,1,0,0,0
4151,pg_toast,pg_toast_1417,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-11 13:53:57.330553+00,,,,1,0,0,0
2830,pg_toast,pg_toast_2604,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-11 13:53:57.328381+00,,,,1,0,0,0
16419,public,history,0,0,,,60000000,0,0,0,60000000,0,0,0,2020-11-11 13:55:42.26347+00,,2020-11-11 13:53:57.158376+00,,1,0,1,0
16413,pg_toast,pg_toast_16410,1,0,0,0,0,0,0,0,0,0,0,0,2020-11-11 14:04:05.163796+00,,,,1,0,0,0
826,pg_catalog,pg_default_acl,0,0,4,0,0,0,0,0,0,0,0,0,2020-11-11 13:53:57.335512+00,,2020-11-11 13:53:44.975482+00,,1,0,1,0
3118,pg_catalog,pg_foreign_table,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-11 13:53:57.327279+00,,2020-11-11 13:53:44.976098+00,,1,0,1,0
2616,pg_catalog,pg_opclass,8,8,1289,14215,0,0,0,0,130,0,0,0,2020-11-11 13:53:57.317117+00,,2020-11-11 13:53:44.97038+00,,1,0,1,0
2600,pg_catalog,pg_aggregate,0,0,1284,1284,0,0,0,0,138,0,0,0,2020-11-11 13:53:57.31507+00,,2020-11-11 13:53:44.969342+00,,1,0,1,0
4181,pg_toast,pg_toast_6000,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-11 13:53:57.329517+00,,,,3,0,0,0
2964,pg_catalog,pg_db_role_setting,0,0,4382,0,0,0,0,0,0,0,0,0,2020-11-11 13:53:57.336157+00,,2020-11-11 13:53:44.976073+00,,3,0,3,0
2328,pg_catalog,pg_foreign_data_wrapper,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-11 13:53:57.329403+00,,2020-11-11 13:53:44.975227+00,,1,0,1,0
2753,pg_catalog,pg_opfamily,0,0,0,0,0,0,0,0,109,0,0,0,2020-11-11 13:53:57.315749+00,,2020-11-11 13:53:44.970452+00,,1,0,1,0
4173,pg_toast,pg_toast_1418,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-11 13:53:57.334603+00,,,,1,0,0,0
3394,pg_catalog,pg_init_privs,0,0,38,4,4,2,2,2,178,0,0,0,2020-11-11 13:53:57.312056+00,,2020-11-11 13:53:44.970835+00,,1,0,1,0
3598,pg_toast,pg_toast_3596,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-11 13:53:57.336786+00,,,,1,0,0,0
1213,pg_catalog,pg_tablespace,60,119,731,511,0,0,0,0,2,0,0,0,2020-11-11 13:53:57.320298+00,,2020-11-11 13:53:44.972338+00,,3,0,3,0
