oid,relname,relkind,table_len,tuple_count,tuple_len,tuple_percent,dead_tuple_count,dead_tuple_len,dead_tuple_percent,free_space,free_percent
16439,customer_i1,i,1897897984,60632121,1456616144,76.75,94430,2355896,0.12,170076048,8.96
16455,customer_i2,i,3496091648,60557617,2879586120,82.37,76113,3760696,0.11,306190488,8.76
16441,district_i1,i,6840320,20000,320000,4.68,0,0,0,6346260,92.78
16443,item_i1,i,2260992,100000,1600000,70.77,0,0,0,227092,10.04
16445,new_order_i1,i,1034469376,18204820,436915680,42.24,2659540,63828960,6.17,439824004,42.52
16447,order_line_i1,i,51790389248,1334443650,33079398320,63.87,3485401,83658584,0.16,12514569800,24.16
16449,orders_i1,i,4939005952,128124493,3107052008,62.91,0,0,0,1251958036,25.35
16456,orders_i2,i,5108621312,129741028,3119988048,61.07,5,120,0,1399203160,27.39
16451,stock_i1,i,4706582528,206317666,3341761840,71,739961,13267496,0.28,470480816,10
16453,warehouse_i1,i,704512,2000,32000,4.54,0,0,0,642772,91.24
16410,customer,r,42704535552,60000000,35210381190,82.45,3449890,2063372245,4.83,4698931772,11
16415,district,r,464945152,20000,2288199,0.49,0,0,0,444909152,95.69
16418,history,r,9812131840,123791413,8836213957,90.05,0,0,0,42643856,0.43
16421,item,r,10633216,100000,9786945,92.04,0,0,0,57844,0.54
16424,new_order,r,1215602688,18191982,618527388,50.88,1341021,45594714,3.75,310862144,25.57
16427,order_line,r,136092672000,1237851377,105690269612,77.66,80711111,6936915470,5.1,12111581948,8.9
16430,orders,r,8349491200,123783408,6400353252,76.66,2046482,102402042,1.23,534861016,6.41
16433,stock,r,78892982272,200000000,66181729614,83.89,17248955,5708511086,7.24,4808534104,6.1
16436,warehouse,r,224772096,2000,218142,0.1,0,0,0,215879644,96.04
