oid,relname,relkind,size,size_pretty
16410,customer,r,41564454912,39 GB
16439,customer_i1,i,1893040128,1805 MB
16455,customer_i2,i,3494789120,3333 MB
16415,district,r,266027008,254 MB
16441,district_i1,i,4399104,4296 kB
16418,history,r,10372808704,9892 MB
16421,item,r,10665984,10 MB
16443,item_i1,i,2260992,2208 kB
16424,new_order,r,1202569216,1147 MB
16445,new_order_i1,i,1050345472,1002 MB
16427,order_line,r,138155319296,129 GB
16447,order_line_i1,i,54692028416,51 GB
16430,orders,r,8584314880,8187 MB
16449,orders_i1,i,5019107328,4787 MB
16456,orders_i2,i,5302796288,5057 MB
16433,stock,r,75816361984,71 GB
16451,stock_i1,i,4497104896,4289 MB
16436,warehouse,r,127737856,122 MB
16453,warehouse_i1,i,385024,376 kB
