relid,schemaname,relname,seq_scan,seq_tup_read,idx_scan,idx_tup_fetch,n_tup_ins,n_tup_upd,n_tup_del,n_tup_hot_upd,n_live_tup,n_dead_tup,n_mod_since_analyze,n_ins_since_vacuum,last_vacuum,last_autovacuum,last_analyze,last_autoanalyze,vacuum_count,autovacuum_count,analyze_count,autoanalyze_count
1261,pg_catalog,pg_auth_members,0,0,0,0,0,0,0,0,3,0,0,0,2020-11-13 09:44:07.904059+00,,2020-11-13 09:43:55.491557+00,,3,0,3,0
4159,pg_toast,pg_toast_2600,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-13 09:44:07.896918+00,,,,1,0,0,0
4171,pg_toast,pg_toast_1247,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-13 09:44:07.889689+00,,,,1,0,0,0
4151,pg_toast,pg_toast_1417,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-13 09:44:07.917219+00,,,,1,0,0,0
3592,pg_catalog,pg_shseclabel,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-13 09:44:07.92047+00,,2020-11-13 09:43:55.495108+00,,3,0,3,0
16424,public,new_order,3,18000000,0,0,18000000,0,0,0,18000000,0,0,0,2020-11-13 09:44:11.431131+00,,2020-11-13 09:43:55.729855+00,,1,0,1,0
3603,pg_catalog,pg_ts_config_map,0,0,0,0,0,0,0,0,494,0,0,0,2020-11-13 09:44:07.895913+00,,2020-11-13 09:43:55.488053+00,,1,0,1,0
3079,pg_catalog,pg_extension,0,0,15,11,2,5,0,5,3,0,0,0,2020-11-13 09:44:07.90787+00,,2020-11-13 09:43:55.492794+00,,1,0,1,0
2830,pg_toast,pg_toast_2604,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-13 09:44:07.911743+00,,,,1,0,0,0
16415,public,district,1,20000,0,0,20000,0,0,0,20000,0,0,0,2020-11-13 09:44:07.888015+00,,2020-11-13 09:43:55.542002+00,,1,0,1,0
16413,pg_toast,pg_toast_16410,1,0,0,0,0,0,0,0,0,0,0,0,2020-11-13 09:54:20.564067+00,,,,1,0,0,0
826,pg_catalog,pg_default_acl,0,0,4,0,0,0,0,0,0,0,0,0,2020-11-13 09:44:07.919596+00,,2020-11-13 09:43:55.494533+00,,1,0,1,0
3501,pg_catalog,pg_enum,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-13 09:44:07.920221+00,,2020-11-13 09:43:55.494999+00,,1,0,1,0
2224,pg_catalog,pg_sequence,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-13 09:44:07.91204+00,,2020-11-13 09:43:55.494005+00,,1,0,1,0
4157,pg_toast,pg_toast_2612,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-13 09:44:07.903172+00,,,,1,0,0,0
4155,pg_toast,pg_toast_3394,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-13 09:44:07.895738+00,,,,1,0,0,0
13433,information_schema,sql_parts,0,0,,,0,0,0,0,10,0,0,0,2020-11-13 09:44:07.910329+00,,2020-11-13 09:43:55.493813+00,,1,0,1,0
3118,pg_catalog,pg_foreign_table,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-13 09:44:07.91008+00,,2020-11-13 09:43:55.495192+00,,1,0,1,0
1417,pg_catalog,pg_foreign_server,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-13 09:44:07.913915+00,,2020-11-13 09:43:55.494421+00,,1,0,1,0
2616,pg_catalog,pg_opclass,8,8,662,7134,0,0,0,0,130,0,0,0,2020-11-13 09:44:07.897967+00,,2020-11-13 09:43:55.488926+00,,1,0,1,0
13431,pg_toast,pg_toast_13428,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-13 09:44:07.909735+00,,,,1,0,0,0
2600,pg_catalog,pg_aggregate,0,0,6,6,0,0,0,0,138,0,0,0,2020-11-13 09:44:07.896457+00,,2020-11-13 09:43:55.490677+00,,1,0,1,0
1247,pg_catalog,pg_type,0,0,1824,1770,22,18,2,18,593,0,0,0,2020-11-13 09:44:07.889173+00,,2020-11-13 09:43:55.486184+00,,1,0,1,0
4181,pg_toast,pg_toast_6000,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-13 09:44:07.912921+00,,,,3,0,0,0
3256,pg_catalog,pg_policy,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-13 09:44:07.917225+00,,2020-11-13 09:43:55.494484+00,,1,0,1,0
13428,information_schema,sql_implementation_info,0,0,,,0,0,0,0,12,0,0,0,2020-11-13 09:44:07.909339+00,,2020-11-13 09:43:55.493819+00,,1,0,1,0
4147,pg_toast,pg_toast_3079,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-13 09:44:07.908352+00,,,,1,0,0,0
6104,pg_catalog,pg_publication,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-13 09:44:07.912404+00,,2020-11-13 09:43:55.494113+00,,1,0,1,0
3601,pg_catalog,pg_ts_parser,0,0,0,0,0,0,0,0,1,0,0,0,2020-11-13 09:44:07.907707+00,,2020-11-13 09:43:55.492825+00,,1,0,1,0
2964,pg_catalog,pg_db_role_setting,2,0,2348,0,0,0,0,0,0,0,0,0,2020-11-13 09:44:07.920231+00,,2020-11-13 09:43:55.495175+00,,3,0,3,0
2328,pg_catalog,pg_foreign_data_wrapper,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-13 09:44:07.913218+00,,2020-11-13 09:43:55.494348+00,,1,0,1,0
2613,pg_catalog,pg_largeobject,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-13 09:44:07.918882+00,,2020-11-13 09:43:55.494669+00,,1,0,1,0
2753,pg_catalog,pg_opfamily,0,0,0,0,0,0,0,0,109,0,0,0,2020-11-13 09:44:07.900871+00,,2020-11-13 09:43:55.489291+00,,1,0,1,0
2396,pg_catalog,pg_shdescription,0,0,0,0,0,0,0,0,3,0,0,0,2020-11-13 09:44:07.90431+00,,2020-11-13 09:43:55.491725+00,,3,0,3,0
16427,public,order_line,3,600010322,0,0,600010322,0,0,0,600010322,0,0,0,2020-11-13 10:00:11.606767+00,,2020-11-13 09:44:04.742035+00,,1,0,1,0
2606,pg_catalog,pg_constraint,27,160,56,0,8,0,0,0,10,0,0,0,2020-11-13 09:44:07.898457+00,,2020-11-13 09:43:55.490576+00,,1,0,1,0
4173,pg_toast,pg_toast_1418,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-13 09:44:07.918701+00,,,,1,0,0,0
16410,public,customer,6,120000000,0,0,60000000,0,0,0,60000000,0,0,0,2020-11-13 09:54:20.563313+00,,2020-11-13 09:43:55.860107+00,,1,0,1,0
3602,pg_catalog,pg_ts_config,0,0,68,68,0,0,0,0,26,0,0,0,2020-11-13 09:44:07.905387+00,,2020-11-13 09:43:55.492484+00,,1,0,1,0
3394,pg_catalog,pg_init_privs,0,0,38,4,4,2,2,2,198,0,0,0,2020-11-13 09:44:07.895269+00,,2020-11-13 09:43:55.488037+00,,1,0,1,0
2602,pg_catalog,pg_amop,0,0,1307,2058,0,0,0,0,723,0,0,0,2020-11-13 09:44:07.894894+00,,2020-11-13 09:43:55.486182+00,,1,0,1,0
2838,pg_toast,pg_toast_2618,0,0,9,30,2,0,0,0,264,0,2,0,2020-11-13 09:44:07.890006+00,,,,1,0,0,0
13423,information_schema,sql_features,0,0,,,0,0,0,0,712,0,0,0,2020-11-13 09:44:07.893713+00,,2020-11-13 09:43:55.48666+00,,1,0,1,0
2615,pg_catalog,pg_namespace,127,348,1986,1581,0,0,0,0,4,0,0,0,2020-11-13 09:44:07.903648+00,,2020-11-13 09:43:55.49114+00,,1,0,1,0
4165,pg_toast,pg_toast_3350,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-13 09:44:07.92163+00,,,,1,0,0,0
2840,pg_toast,pg_toast_2619,0,0,59,33,86,0,12,0,86,0,98,0,2020-11-13 09:44:07.888692+00,,,,1,0,0,0
3598,pg_toast,pg_toast_3596,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-13 09:44:07.920914+00,,,,1,0,0,0
2966,pg_toast,pg_toast_2964,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-13 09:44:07.920328+00,,,,3,0,0,0
3541,pg_catalog,pg_range,0,0,0,0,0,0,0,0,6,0,0,0,2020-11-13 09:44:07.909547+00,,2020-11-13 09:43:55.493545+00,,1,0,1,0
1214,pg_catalog,pg_shdepend,0,0,75,41,14,0,0,0,23,0,0,0,2020-11-13 09:44:07.904175+00,,2020-11-13 09:43:55.491788+00,,3,0,3,0
16433,public,stock,3,200000000,0,0,200000000,0,0,0,200000000,0,0,0,2020-11-13 10:01:17.147405+00,,2020-11-13 09:43:56.861776+00,,1,0,1,0
3600,pg_catalog,pg_ts_dict,0,0,0,0,0,0,0,0,26,0,0,0,2020-11-13 09:44:07.907032+00,,2020-11-13 09:43:55.492648+00,,1,0,1,0
3764,pg_catalog,pg_ts_template,0,0,0,0,0,0,0,0,5,0,0,0,2020-11-13 09:44:07.90893+00,,2020-11-13 09:43:55.490303+00,,1,0,1,0
