oid,relname,version,tree_level,index_size,root_block_no,internal_pages,leaf_pages,empty_pages,deleted_pages,avg_leaf_density,leaf_fragmentation
16439,customer_i1,4,3,1895383040,41827,1140,230229,0,0,90.21,0.15
16455,customer_i2,4,3,3494862848,17574,3278,423340,0,0,92.94,0
16441,district_i1,4,2,4333568,412,3,525,0,0,9.64,50.29
16443,item_i1,4,1,2260992,3,1,274,0,0,89.83,0
16445,new_order_i1,4,3,1222713344,42442,655,74538,0,74063,84.84,6.93
16447,order_line_i1,4,3,52285612032,41827,38093,6344427,0,0,75.21,23.15
16449,orders_i1,4,3,4776820736,41827,2905,580202,0,0,76.63,16.07
16456,orders_i2,4,3,5114314752,41827,3115,621190,0,0,71.76,35.71
16451,stock_i1,4,3,4500332544,81517,1934,547422,0,0,93.21,0.18
16453,warehouse_i1,4,1,368640,3,1,43,0,0,11.7,48.84
