relid,schemaname,relname,seq_scan,seq_tup_read,idx_scan,idx_tup_fetch,n_tup_ins,n_tup_upd,n_tup_del,n_tup_hot_upd,n_live_tup,n_dead_tup,n_mod_since_analyze,n_ins_since_vacuum,last_vacuum,last_autovacuum,last_analyze,last_autoanalyze,vacuum_count,autovacuum_count,analyze_count,autoanalyze_count
1261,pg_catalog,pg_auth_members,0,0,0,0,0,0,0,0,3,0,0,0,2020-11-12 08:57:53.379984+00,2020-11-14 11:33:43.742365+00,2020-11-12 08:57:40.825819+00,,3,3,3,0
4159,pg_toast,pg_toast_2600,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-12 08:57:53.365912+00,2020-11-14 11:33:44.170038+00,,,1,1,0,0
4171,pg_toast,pg_toast_1247,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-12 08:57:53.360459+00,2020-11-14 11:33:44.125127+00,,,1,1,0,0
4151,pg_toast,pg_toast_1417,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-12 08:57:53.390195+00,2020-11-14 11:33:44.358104+00,,,1,1,0,0
3592,pg_catalog,pg_shseclabel,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-12 08:57:53.395119+00,2020-11-14 11:33:43.941284+00,2020-11-12 08:57:40.829388+00,,3,3,3,0
16424,public,new_order,4,36000000,128976920,128776731,82504899,0,64248315,0,18884247,9787557,11465674,9048945,2020-11-12 08:57:57.058126+00,2020-11-14 12:05:26.218428+00,2020-11-12 08:57:41.060799+00,2020-11-14 12:14:06.288093+00,1,12,1,28
3603,pg_catalog,pg_ts_config_map,0,0,0,0,0,0,0,0,494,0,0,0,2020-11-12 08:57:53.364901+00,2020-11-14 11:33:43.792454+00,2020-11-12 08:57:40.822897+00,,1,1,1,0
3079,pg_catalog,pg_extension,0,0,19,13,3,6,0,6,4,0,2,0,2020-11-12 08:57:53.383497+00,2020-11-14 11:33:43.847812+00,2020-11-12 08:57:40.826748+00,,1,1,1,0
2830,pg_toast,pg_toast_2604,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-12 08:57:53.387081+00,2020-11-14 11:33:44.136333+00,,,1,1,0,0
16415,public,district,359,7180000,199945983,200651398,20000,129002619,0,124123952,18947,25121,86292,0,2020-11-12 08:57:53.356353+00,2020-11-14 12:33:28.045752+00,2020-11-12 08:57:40.874397+00,2020-11-14 12:33:30.30931+00,1,295,1,299
16413,pg_toast,pg_toast_16410,1,0,0,0,0,0,0,0,0,0,0,0,2020-11-12 09:08:01.963189+00,2020-11-14 11:33:44.102637+00,,,1,1,0,0
826,pg_catalog,pg_default_acl,0,0,6,0,0,0,0,0,0,0,0,0,2020-11-12 08:57:53.39435+00,2020-11-14 11:33:43.905936+00,2020-11-12 08:57:40.828812+00,,1,1,1,0
3501,pg_catalog,pg_enum,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-12 08:57:53.394907+00,2020-11-14 11:33:43.652128+00,2020-11-12 08:57:40.829243+00,,1,1,1,0
2224,pg_catalog,pg_sequence,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-12 08:57:53.386698+00,2020-11-14 11:33:44.003918+00,2020-11-12 08:57:40.828314+00,,1,1,1,0
4155,pg_toast,pg_toast_3394,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-12 08:57:53.364062+00,2020-11-14 11:33:44.425143+00,,,1,1,0,0
4157,pg_toast,pg_toast_2612,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-12 08:57:53.373377+00,2020-11-14 11:33:44.158979+00,,,1,1,0,0
13433,information_schema,sql_parts,0,0,,,0,0,0,0,10,0,0,0,2020-11-12 08:57:53.385146+00,2020-11-14 11:33:44.078227+00,2020-11-12 08:57:40.828326+00,,1,1,1,0
3118,pg_catalog,pg_foreign_table,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-12 08:57:53.386129+00,2020-11-14 11:33:43.287337+00,2020-11-12 08:57:40.829433+00,,1,1,1,0
1417,pg_catalog,pg_foreign_server,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-12 08:57:53.388027+00,2020-11-14 11:33:43.870937+00,2020-11-12 08:57:40.828717+00,,1,1,1,0
2616,pg_catalog,pg_opclass,36,36,11909,163169,0,0,0,0,130,0,0,0,2020-11-12 08:57:53.367199+00,2020-11-14 11:33:43.481185+00,2020-11-12 08:57:40.823496+00,,1,1,1,0
