oid,relname,relkind,size,size_pretty
16410,customer,r,36461223936,34 GB
16439,customer_i1,i,1892573184,1805 MB
16455,customer_i2,i,3494789120,3333 MB
16415,district,r,2490368,2432 kB
16441,district_i1,i,466944,456 kB
16418,history,r,4819329024,4596 MB
16421,item,r,10665984,10 MB
16443,item_i1,i,2260992,2208 kB
16424,new_order,r,797302784,760 MB
16445,new_order_i1,i,567779328,541 MB
16427,order_line,r,55870971904,52 GB
16447,order_line_i1,i,18925764608,18 GB
16430,orders,r,3615145984,3448 MB
16449,orders_i1,i,1892573184,1805 MB
16456,orders_i2,i,1892573184,1805 MB
16433,stock,r,68378025984,64 GB
16451,stock_i1,i,4492353536,4284 MB
16436,warehouse,r,270336,264 kB
16453,warehouse_i1,i,65536,64 kB
